filer_cik,accession,cusip,ticker,issuer,class,put_call,value_usd,shares,sh_prn_type,discretion,other_manager,vote_sole,vote_shared,vote_none
1056831,0000919574-26-001186,037833100,AAPL,APPLE INC,COM,,652464,2400,SH,SOLE,,0,0,2400
1056831,0000919574-26-001186,06417N103,OZK,BANK OZK,COM,,42046274,913652,SH,SOLE,1,752000,0,161652
1056831,0000919574-26-001186,084670108,BRK/A,BERKSHIRE HATHAWAY INC DEL,CL A,,754800,1,SH,SOLE,,0,0,1
1056831,0000919574-26-001186,084670702,BRK/B,BERKSHIRE HATHAWAY INC DEL,CL B NEW,,24133232,48012,SH,SOLE,,0,0,48012
1056831,0000919574-26-001186,125269100,CF,CF INDS HLDGS INC,COM,,4230498,54700,SH,SOLE,1,49000,0,5700
1056831,0000919574-26-001186,25278X109,FANG,DIAMONDBACK ENERGY INC,COM,,601320,4000,SH,SOLE,1,4000,0,0
1056831,0000919574-26-001186,29273V100,ET,ENERGY TRANSFER L P,COM UT LTD PTN,,2747234,166600,SH,SOLE,1,166600,0,0
1056831,0000919574-26-001186,293792107,EPD,ENTERPRISE PRODS PARTNERS L,COM,,174739824,5450400,SH,SOLE,1,4991100,0,459300
1056831,0000919574-26-001186,26875P101,EOG,EOG RES INC,COM,,210020,2000,SH,SOLE,1,2000,0,0
1056831,0000919574-26-001186,63900P608,NRP,NATURAL RESOURCE PARTNERS L,COM UNIT LTD PAR,,1252800,12000,SH,SOLE,1,12000,0,0
1056831,0000919574-26-001186,674599105,OXY,OCCIDENTAL PETE CORP,COM,,2841392,69100,SH,SOLE,1,42100,0,27000
1056831,0000919574-26-001186,743315103,PGR,PROGRESSIVE CORP,COM,,5829632,25600,SH,SOLE,1,25600,0,0
1056831,0000919574-26-001186,790148100,JOE,ST JOE CO,COM,,1153111866,19422467,SH,SOLE,1,18162691,0,1259776
1056831,0000919574-26-001186,87612E106,TGT,TARGET CORP,COM,,2248250,23000,SH,SOLE,1,23000,0,0
1056831,0000919574-26-001186,084423102,WRB,WR BERKLEY CORP,COM,,18241718,260150,SH,SOLE,1,187650,0,72500
