filer_cik,accession,cusip,ticker,issuer,class,put_call,value_usd,shares,sh_prn_type,discretion,other_manager,vote_sole,vote_shared,vote_none
1641864,0001641864-26-000004,084670702,BRK/B,BERKSHIRE HATHAWAY INC DEL,CL B NEW,,181437100,378625,SH,DFND,,0,0,0
1641864,0001641864-26-000004,02079K107,GOOG,ALPHABET INC C,CAP STK CL C,,178113956,620909,SH,DFND,,0,0,0
1641864,0001641864-26-000004,30303M102,META,META PLATFORMS INC,CL A,,176113629,307821,SH,DFND,,0,0,0
1641864,0001641864-26-000004,422806208,HEI/A,HEICO CORP NEW,CL A,,155886165,738482,SH,DFND,,0,0,0
1641864,0001641864-26-000004,808513105,SCHW,SCHWAB CHARLES CORP,COM,,144372640,1536206,SH,DFND,,0,0,0
1641864,0001641864-26-000004,33829M101,FIVE,FIVE BELOW INC,COM,,141015800,617191,SH,DFND,,0,0,0
1641864,0001641864-26-000004,031100100,AME,AMETEK INC,COM,,131200753,612058,SH,DFND,,0,0,0
1641864,0001641864-26-000004,58506Q109,MEDP,MEDPACE HOLDINGS INC,COM,,122967535,256081,SH,DFND,,0,0,0
1641864,0001641864-26-000004,92826C839,V,VISA INC,COM CL A,,119794940,396357,SH,DFND,,0,0,0
1641864,0001641864-26-000004,45780R101,IBP,INSTALLED BLDG PRODS INC,COM,,107031775,403665,SH,DFND,,0,0,0
1641864,0001641864-26-000004,743315103,PGR,PROGRESSIVE CORP,COM,,104742879,528364,SH,DFND,,0,0,0
1641864,0001641864-26-000004,02079K305,GOOGL,ALPHABET INC,CAP STK CL A,,100205746,348469,SH,DFND,,0,0,0
1641864,0001641864-26-000004,49338L103,KEYS,KEYSIGHT TECHNOLOGIES INC,COM,,91257466,323184,SH,DFND,,0,0,0
1641864,0001641864-26-000004,62944T105,NVR,NVR INC,COM,,89931410,13647,SH,DFND,,0,0,0
1641864,0001641864-26-000004,09857L108,BKNG,BOOKING HOLDINGS INC.,COM,,88909327,21117,SH,DFND,,0,0,0
1641864,0001641864-26-000004,053015103,ADP,AUTOMATIC DATA PROC INC,COM,,85150706,419090,SH,DFND,,0,0,0
1641864,0001641864-26-000004,570535104,MKL,MARKEL CORP,COMMON STOCK,,82197822,42944,SH,DFND,,0,0,0
1641864,0001641864-26-000004,49714P108,KNSL,KINSALE CAPITAL GROUP IN,COM,,74803724,218942,SH,DFND,,0,0,0
1641864,0001641864-26-000004,000360206,AAON,AAON INC,COM,,16701598,201832,SH,SOLE,,0,0,0
1641864,0001641864-26-000004,109194100,BFAM,BRIGHT HORIZONSFAMILY SOLUTION,COM,,60967481,742329,SH,DFND,,0,0,0
1641864,0001641864-26-000004,06417N103,OZK,BANK OZK LITTLE ROCK ARK,COM,,56493298,1231059,SH,DFND,,0,0,0
1641864,0001641864-26-000004,032654105,ADI,ANALOG DEVICES INC,COM,,54418483,171052,SH,DFND,,0,0,0
1641864,0001641864-26-000004,040413205,ANET,ARISTA NETWORKS INC,COM,,51981534,423361,SH,SOLE,,0,0,0
1641864,0001641864-26-000004,254687106,DIS,DISNEY WALT CO,COM,,51709219,536514,SH,DFND,,0,0,0
1641864,0001641864-26-000004,761152107,RMD,RESMED INC,COM,,51631522,230005,SH,SOLE,,0,0,0
1641864,0001641864-26-000004,115236101,BRO,BROWN & BROWN,COM,,49251091,755269,SH,DFND,,0,0,0
1641864,0001641864-26-000004,537008104,LFUS,LITTELFUSE INC,COM,,27391993,80719,SH,DFND,,0,0,0
1641864,0001641864-26-000004,550021109,LULU,LULULEMON ATHLETICA INC,COM,,21832060,142600,SH,DFND,,0,0,0
1641864,0001641864-26-000004,866966104,SUNB,SUNBELT RENTALS HLDGS IN GB SHRS,SHS,,17629171,270843,SH,SOLE,,0,0,0
1641864,0001641864-26-000004,46625H100,JPM,JPMORGAN CHASE & CO,COM,,15383980,52298,SH,DFND,,0,0,0
1641864,0001641864-26-000004,57636Q104,MA,MASTERCARD INCORPORATED,CL A,,14023458,28066,SH,DFND,,0,0,0
1641864,0001641864-26-000004,339750101,FND,FLOOR & DECOR HLDGS INC,CL A,,11776913,231829,SH,DFND,,0,0,0
1641864,0001641864-26-000004,87318A101,TWFG,TWFG INC,COM CL A,,10153248,552107,SH,DFND,,0,0,0
1641864,0001641864-26-000004,31488V107,FERG,FERGUSON ENTERPRISES INC,COM,,8567173,36728,SH,SOLE,,0,0,0
1641864,0001641864-26-000004,084670108,BRK/A,BERKSHIRE HATHAWAY INC DEL,CL A,,7899540,11,SH,DFND,,0,0,0
1641864,0001641864-26-000004,12008R107,BLDR,BUILDERS FIRSTSOURCE INC,COM,,7558964,91813,SH,SOLE,,0,0,0
1641864,0001641864-26-000004,037833100,AAPL,APPLE INC,COM,,3817002,15040,SH,DFND,,0,0,0
1641864,0001641864-26-000004,874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,SPONSORED ADS,,2745844,8125,SH,DFND,,0,0,0
1641864,0001641864-26-000004,98850P109,YUMC,YUM CHINA HLDGS INC,COM,,1757836,36036,SH,SOLE,,0,0,0
1641864,0001641864-26-000004,78463V107,GQ9,SPDR GOLD TR,GOLD SHS,,1667804,3876,SH,SOLE,,0,0,0
1641864,0001641864-26-000004,78462F103,SPY,SPDR S&P 500 ETF,ETF,,1608941,2474,SH,SOLE,,0,0,0
1641864,0001641864-26-000004,55261F104,MTB,M & T BK CORP,COM,,1557635,7535,SH,DFND,,0,0,0
1641864,0001641864-26-000004,46137V357,RSP,INVESCO S&P500 EQ WGT ETF,COM,,1171672,6105,SH,SOLE,,0,0,0
1641864,0001641864-26-000004,46138G649,QQQM,INVESCO EXCH TRADED FD TR II,UNIT SER 1,,1003232,4222,SH,SOLE,,0,0,0
1641864,0001641864-26-000004,464288752,ITB,ISHARES TR,US HOME CONS ETF,,982830,10854,SH,DFND,,0,0,0
1641864,0001641864-26-000004,M2029K104,,BIRKENSTOCK HLDG PLC,COM,,981455,27392,SH,SOLE,,0,0,0
1641864,0001641864-26-000004,679580100,ODFL,OLD DOMINION FREIGHT LINE IN,COM,,978172,5006,SH,SOLE,,0,0,0
1641864,0001641864-26-000004,217204106,CPRT,COPART INC,COM,,912469,27484,SH,SOLE,,0,0,0
1641864,0001641864-26-000004,594918104,MSFT,MICROSOFT CORP,COM,,707025,1910,SH,DFND,,0,0,0
1641864,0001641864-26-000004,82982L103,SITE,SITEONE LANDSCAPE SUPPLY INC,COM,,499562,3753,SH,SOLE,,0,0,0
1641864,0001641864-26-000004,670100205,NVO,NOVO-NORDISK A S,ADR,,455700,12400,SH,SOLE,,0,0,0
