filer_cik,accession,cusip,ticker,issuer,class,put_call,value_usd,shares,sh_prn_type,discretion,other_manager,vote_sole,vote_shared,vote_none
921669,0001539497-26-002243,025537101,AEP,American Electric Power Company,COM,,59472675,434710,SH,DFND,1,0,434710,0
921669,0001539497-26-002243,071705107,BLCO,Bausch Plus Lomb Corp.,COMMON SHARES,,57960000,3500000,SH,DFND,1,0,3500000,0
921669,0001539497-26-002243,12769G100,CZR,"Caesars Entertainment, Inc.",COM,,73642490,2440109,SH,DFND,1,0,2440109,0
921669,0001539497-26-002243,155923105,CTRI,"Centuri Holdings, Inc.",COM SHS,,433521971,14336044,SH,DFND,1,0,14336044,0
921669,0001539497-26-002243,12662P108,CVI,CVR Energy Inc,COM,,1860894131,67570593,SH,DFND,7,0,67570593,0
921669,0001539497-26-002243,12662P108,CVI,CVR Energy Inc,COM,,100005506,3631282,SH,DFND,9,0,3631282,0
921669,0001539497-26-002243,126633205,UAN,"CVR Partners, LP",COM,,433880160,3892000,SH,DFND,8,0,3892000,0
921669,0001539497-26-002243,126633205,UAN,"CVR Partners, LP",COM,,30353106,272274,SH,DFND,9,0,272274,0
921669,0001539497-26-002243,278768106,ECHO,EchoStar Corporation,CL A,,142561013,1404542,SH,DFND,1,0,1404542,0
921669,0001539497-26-002243,451100101,IEP,Icahn Enterprises LP,DEPOSITARY UNIT,,2234185830,309873208,SH,DFND,2,0,309873208,0
921669,0001539497-26-002243,451100101,IEP,Icahn Enterprises LP,DEPOSITARY UNIT,,492500377,68307958,SH,DFND,3,0,68307958,0
921669,0001539497-26-002243,451100101,IEP,Icahn Enterprises LP,DEPOSITARY UNIT,,952613838,132123972,SH,DFND,6,0,132123972,0
921669,0001539497-26-002243,451100101,IEP,Icahn Enterprises LP,DEPOSITARY UNIT,,612880751,85004265,SH,DFND,4,0,85004265,0
921669,0001539497-26-002243,451100101,IEP,Icahn Enterprises LP,DEPOSITARY UNIT,,166435207,23083940,SH,DFND,5,0,23083940,0
921669,0001539497-26-002243,459506101,IFF,International Flavors and Fragrances Inc.,COM,,338665500,4275000,SH,DFND,1,0,4275000,0
921669,0001539497-26-002243,610236101,MNRO,"Monro, Inc.",COM,,86894384,5078573,SH,DFND,1,0,5078573,0
921669,0001539497-26-002243,477143101,JBLU,JetBlue Airways Corp.,COM,,118371366,20658179,SH,DFND,1,0,20658179,0
921669,0001539497-26-002243,80007P869,SD,"SandRidge Energy, Inc.",COM NEW,,69252220,5054907,SH,DFND,1,0,5054907,0
