filer_cik,accession,cusip,ticker,issuer,class,put_call,value_usd,shares,sh_prn_type,discretion,other_manager,vote_sole,vote_shared,vote_none
898382,0000945621-24-000945,00090Q103,ADT,ADT INC,COM,,46128817,6380196,SH,SOLE,,6380196,0,0
898382,0000945621-24-000945,00130H105,AES,AES CORP,COM,,18054,900,SH,SOLE,,900,0,0
898382,0000945621-24-000945,02079K305,GOOGL,ALPHABET INC,CAP STK CL A,,107802500,650000,SH,SOLE,,650000,0,0
898382,0000945621-24-000945,03769M106,APO,APOLLO GLOBAL MANAGEMENT INC,COM,,173250170,1387000,SH,SOLE,,1387000,0,0
898382,0000945621-24-000945,038923108,ABR,ARBOR REALTY TRUST INC,COM,,38296179,2461194,SH,SOLE,,2461194,0,0
898382,0000945621-24-000945,044186104,ASH,ASHLAND INC,COM,,94797300,1090000,SH,SOLE,,1090000,0,0
898382,0000945621-24-000945,06759L103,BBDC,BARINGS BDC INC,COM,,25901,2643,SH,SOLE,,2643,0,0
898382,0000945621-24-000945,20337X109,VISN,COMMSCOPE HOLDING CO INC,COM,,435093,71210,SH,SOLE,,71210,0,0
898382,0000945621-24-000945,225655109,CCAP,CRESCENT CAPITAL BDC INC,COM,,1663465,89917,SH,SOLE,,89917,0,0
898382,0000945621-24-000945,25253X207,DMAC,DIAMEDICA THERAPEUTICS INC,COM,,6334186,1511739,SH,SOLE,,1511739,0,0
898382,0000945621-24-000945,23345M107,DTM,DT MIDSTREAM INC,COMMON STOCK,,34610400,440000,SH,SOLE,,440000,0,0
898382,0000945621-24-000945,036752103,ELV,ELEVANCE HEALTH INC,COM,,88920000,171000,SH,SOLE,,171000,0,0
898382,0000945621-24-000945,28852N109,EFC,ELLINGTON FINANCIAL INC,COM,,1933500,150000,SH,SOLE,,150000,0,0
898382,0000945621-24-000945,29273V100,ET,ENERGY TRANSFER LP,COM UT LTD PTN,,203193000,12660000,SH,SOLE,,12660000,0,0
898382,0000945621-24-000945,293792107,EPD,ENTERPRISE PRODUCTS PARTNERS,COM,,34685584,1191535,SH,SOLE,,1191535,0,0
898382,0000945621-24-000945,G3398L118,PLGO,FIDELIS INSURANCE HOLDINGS L,COM,,63247312,3502066,SH,SOLE,,3502066,0,0
898382,0000945621-24-000945,31738L206,FOA,FINANCE OF AMERICA COS INC,CL A,,12148674,1050015,SH,SOLE,,1050015,0,0
898382,0000945621-24-000945,337738108,FISV,FISERV INC,COM,,86232000,480000,SH,SOLE,,480000,0,0
898382,0000945621-24-000945,35473P827,FLCA,FRANKLIN TEMPLETON ETF TR,FTSE CANADA,,216467,5750,SH,SOLE,,5750,0,0
898382,0000945621-24-000945,36472T109,TDAY,GANNETT CO INC,COM,,26320320,4683331,SH,SOLE,,4683331,0,0
898382,0000945621-24-000945,536797103,LAD,LITHIA MOTORS INC,COM,,132165239,416085,SH,SOLE,,416085,0,0
898382,0000945621-24-000945,55825T103,MSGS,MADISON SQUARE GARDEN SPORTS,CL A,,4165200,20000,SH,SOLE,,20000,0,0
898382,0000945621-24-000945,G5784H106,,MANCHESTER UNITED PLC,ORD CL A,,40811008,2522312,SH,SOLE,,2522312,0,0
898382,0000945621-24-000945,594918104,MSFT,MICROSOFT CORP,COM,,45484862,105705,SH,SOLE,,105705,0,0
898382,0000945621-24-000945,60471A101,MIR,MIRION TECHNOLOGIES INC,COM CL A,,88836750,8025000,SH,SOLE,,8025000,0,0
898382,0000945621-24-000945,620076307,MSI,MOTOROLA SOLUTIONS INC,COM,,44963000,100000,SH,SOLE,,100000,0,0
898382,0000945621-24-000945,553368101,MP,MP MATERIALS CORP,COM CL A,,61157250,3465000,SH,SOLE,,3465000,0,0
898382,0000945621-24-000945,62482R107,07WA,MR COOPER GROUP INC,COM,,263690108,2860600,SH,SOLE,,2860600,0,0
898382,0000945621-24-000945,69121K104,OBDC,BLUE OWL CAPITAL CORP,COM,,174840,12000,SH,SOLE,,12000,0,0
898382,0000945621-24-000945,68268W103,OMF,ONEMAIN HOLDINGS INC,COM,,14559457,309315,SH,SOLE,,309315,0,0
898382,0000945621-24-000945,758750103,RRX,REGAL REXNORD CORP,COM,,116116000,700000,SH,SOLE,,700000,0,0
898382,0000945621-24-000945,81141R100,SE,SEA LTD,SPONSORD ADS,,30740748,326058,SH,SOLE,,326058,0,0
898382,0000945621-24-000945,8676EP108,STKL,SUNOPTA INC,COM,,35006811,5486961,SH,SOLE,,5486961,0,0
898382,0000945621-24-000945,125523100,CI,THE CIGNA GROUP,COM,,83372518,240655,SH,SOLE,,240655,0,0
898382,0000945621-24-000945,922042874,VGK,VANGUARD INTL EQUITY INDEX F,FTSE EUROPE ETF,,1755672,24693,SH,SOLE,,24693,0,0
898382,0000945621-24-000945,92206C706,VGIT,VANGUARD SCOTTSDALE FDS,INTER TERM TREAS,,1112453,18412,SH,SOLE,,18412,0,0
898382,0000945621-24-000945,922908363,VOO,VANGUARD INDEX FDS,S&P 500 ETF SHS,,23002718,43593,SH,SOLE,,43593,0,0
898382,0000945621-24-000945,922907746,VTEB,VANGUARD MUN BD FDS,TAX EXEMPT BD,,658221,12876,SH,SOLE,,12876,0,0
898382,0000945621-24-000945,92537N108,VRT,VERTIV HOLDINGS CO,COM CL A,,208929000,2100000,SH,SOLE,,2100000,0,0
898382,0000945621-24-000945,971378104,WSC,WILLSCOT HOLDINGS CORP,COM CL A,,137221200,3649500,SH,SOLE,,3649500,0,0
