filer_cik,accession,cusip,ticker,issuer,class,put_call,value_usd,shares,sh_prn_type,discretion,other_manager,vote_sole,vote_shared,vote_none
1541617,0001541617-26-000002,023135106,AMZN,AMAZON COM INC,COM,,511418641,2215660,SH,SOLE,,1927168,0,288492
1541617,0001541617-26-000002,11135F101,AVGO,BROADCOM INC,COM,,11119847,32129,SH,SOLE,,28284,0,3845
1541617,0001541617-26-000002,093712107,BE,BLOOM ENERGY CORP,COM CL A,,22654831,260730,SH,SOLE,,211980,0,48750
1541617,0001541617-26-000002,20717M103,8QR,CONFLUENT INC,CLASS A COM,,209661480,6933250,SH,SOLE,,6933250,0,0
1541617,0001541617-26-000002,22266T109,CPNG,COUPANG INC,CL A,,369815571,15676794,SH,SOLE,,12859197,0,2817597
1541617,0001541617-26-000002,21873S108,CRWV,COREWEAVE INC,COM CL A,,230099400,3213230,SH,SOLE,,2635510,0,577720
1541617,0001541617-26-000002,02079K305,GOOGL,ALPHABET INC,CAP STK CL A,,162537770,519290,SH,SOLE,,420270,0,99020
1541617,0001541617-26-000002,G0370L116,,GRAB HOLDINGS LIMITED,W EXP 12/1/202,,1029588,3502000,SH,SOLE,,3502000,0,0
1541617,0001541617-26-000002,770700102,HOOD,ROBINHOOD MKTS INC,COM CL A,,146271326,1293292,SH,SOLE,,1055006,0,238286
1541617,0001541617-26-000002,58733R102,MELI,MERCADOLIBRE INC,COM,,137936524,68480,SH,SOLE,,55940,0,12540
1541617,0001541617-26-000002,30303M102,META,META PLATFORMS INC,CL A,,1218108963,1845368,SH,SOLE,,1845368,0,0
1541617,0001541617-26-000002,594918104,MSFT,MICROSOFT CORP,COM,,617752974,1277352,SH,SOLE,,1183632,0,93720
1541617,0001541617-26-000002,67066G104,NVDA,NVIDIA CORPORATION,COM,,1510607666,8099773,SH,SOLE,,7209752,0,890021
1541617,0001541617-26-000002,82509L107,SHOP,SHOPIFY INC,CL A SUB VTG,,91786704,570210,SH,SOLE,,459100,0,111110
1541617,0001541617-26-000002,833445109,SNOW,SNOWFLAKE INC,COM SHS,,444775213,2027604,SH,SOLE,,1926250,0,101354
1541617,0001541617-26-000002,874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,SPONSORED ADS,,370510893,1219227,SH,SOLE,,1011475,0,207752
1541617,0001541617-26-000002,90353T100,UBER,UBER TECHNOLOGIES INC,COM,,456660194,5588792,SH,SOLE,,5588792,0,0
1541617,0001541617-26-000002,98954M200,Z,ZILLOW GROUP INC,CL C CAP STK,,149225860,2187421,SH,SOLE,,1821248,0,366173
