filer_cik,accession,cusip,ticker,issuer,class,put_call,value_usd,shares,sh_prn_type,discretion,other_manager,vote_sole,vote_shared,vote_none
1656456,0001656456-26-000001,007903107,AMD,ADVANCED MICRO DEVICES INC,COM,,69602000,325000,SH,SOLE,N/A,325000,0,0
1656456,0001656456-26-000001,01609W102,BABA,ALIBABA GROUP HLDG LTD,SPONSORED ADS,,753117926,5137931,SH,SOLE,N/A,5137931,0,0
1656456,0001656456-26-000001,02079K107,GOOG,ALPHABET INC,CAP STK CL C,,560738948,1786931,SH,SOLE,N/A,1786931,0,0
1656456,0001656456-26-000001,023135106,AMZN,AMAZON COM INC,COM,,503047031,2179391,SH,SOLE,N/A,2179391,0,0
1656456,0001656456-26-000001,02376R102,AAL,AMERICAN AIRLS GROUP INC,COM,,216919500,14150000,SH,SOLE,N/A,14150000,0,0
1656456,0001656456-26-000001,N07059210,ASML,ASML HOLDING N V,N Y REGISTRY SHS,,66866250,62500,SH,SOLE,N/A,62500,0,0
1656456,0001656456-26-000001,056752108,BIDU,BAIDU INC,SPON ADR REP A,,75129500,575000,SH,SOLE,N/A,575000,0,0
1656456,0001656456-26-000001,058498106,BALL,BALL CORP,COM,,63564000,1200000,SH,SOLE,N/A,1200000,0,0
1656456,0001656456-26-000001,219350105,GLW,CORNING INC,COM,,137486712,1570200,SH,SOLE,N/A,1570200,0,0
1656456,0001656456-26-000001,247361702,DAL,DELTA AIR LINES INC DEL,COM NEW,,32965000,475000,SH,SOLE,N/A,475000,0,0
1656456,0001656456-26-000001,D18190898,,DEUTSCHE BANK A G,NAMEN AKT,,121464000,3150000,SH,SOLE,N/A,3150000,0,0
1656456,0001656456-26-000001,29273V100,ET,ENERGY TRANSFER L P,COM UT LTD PTN,,36133713,2191250,SH,SOLE,N/A,2191250,0,0
1656456,0001656456-26-000001,382550101,GT,GOODYEAR TIRE & RUBR CO,COM,,21900000,2500000,SH,SOLE,N/A,2500000,0,0
1656456,0001656456-26-000001,46266C105,IQV,IQVIA HLDGS INC,COM,,63114800,280000,SH,SOLE,N/A,280000,0,0
1656456,0001656456-26-000001,464286772,EWY,ISHARES INC,MSCI STH KOR ETF,,182287500,1875000,SH,SOLE,N/A,1875000,0,0
1656456,0001656456-26-000001,464287184,FXI,ISHARES TR,CHINA LG-CAP ETF,,41640375,1087500,SH,SOLE,N/A,1087500,0,0
1656456,0001656456-26-000001,47215P106,JD,JD.COM INC,SPON ADS CL A,,119307220,4157046,SH,SOLE,N/A,4157046,0,0
1656456,0001656456-26-000001,500767306,KWEB,KRANESHARES TRUST,CSI CHI INTERNET,,161737500,4750000,SH,SOLE,N/A,4750000,0,0
1656456,0001656456-26-000001,502431109,LHX,L3HARRIS TECHNOLOGIES INC,COM,,86603150,295000,SH,SOLE,N/A,295000,0,0
1656456,0001656456-26-000001,512807306,LRCX,LAM RESEARCH CORP,COM NEW,,72751500,425000,SH,SOLE,N/A,425000,0,0
1656456,0001656456-26-000001,55087P104,LYFT,LYFT INC,CL A COM,,73606000,3800000,SH,SOLE,N/A,3800000,0,0
1656456,0001656456-26-000001,30303M102,META,META PLATFORMS INC,CL A,,396054000,600000,SH,SOLE,N/A,600000,0,0
1656456,0001656456-26-000001,595112103,MU,MICRON TECHNOLOGY INC,COM,Call,71352500,250000,SH,SOLE,N/A,250000,0,0
1656456,0001656456-26-000001,595112103,MU,MICRON TECHNOLOGY INC,COM,,428115000,1500000,SH,SOLE,N/A,1500000,0,0
1656456,0001656456-26-000001,594918104,MSFT,MICROSOFT CORP,COM,,241810000,500000,SH,SOLE,N/A,500000,0,0
1656456,0001656456-26-000001,608190104,MHK,MOHAWK INDS INC,COM,,73777500,675000,SH,SOLE,N/A,675000,0,0
1656456,0001656456-26-000001,55336V100,MPLX,MPLX LP,COM UNIT REP LTD,,33489675,627500,SH,SOLE,N/A,627500,0,0
1656456,0001656456-26-000001,629377508,NRG,NRG ENERGY INC,COM NEW,,261153600,1640000,SH,SOLE,N/A,1640000,0,0
1656456,0001656456-26-000001,67066G104,NVDA,NVIDIA CORPORATION,COM,,317050000,1700000,SH,SOLE,N/A,1700000,0,0
1656456,0001656456-26-000001,690742101,OC,OWENS CORNING NEW,COM,,106314500,950000,SH,SOLE,N/A,950000,0,0
1656456,0001656456-26-000001,722304102,PDD,PDD HOLDINGS INC,SPONSORED ADS,,201267250,1775000,SH,SOLE,N/A,1775000,0,0
1656456,0001656456-26-000001,747525103,QCOM,QUALCOMM INC,COM,,195852250,1145000,SH,SOLE,N/A,1145000,0,0
1656456,0001656456-26-000001,75513E101,RTX,RTX CORPORATION,COM,,91700000,500000,SH,SOLE,N/A,500000,0,0
1656456,0001656456-26-000001,874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,SPONSORED ADS,,343395700,1130000,SH,SOLE,N/A,1130000,0,0
1656456,0001656456-26-000001,90353T100,UBER,UBER TECHNOLOGIES INC,COM,,151163500,1850000,SH,SOLE,N/A,1850000,0,0
1656456,0001656456-26-000001,910047109,UAL,UNITED AIRLS HLDGS INC,COM,,51996300,465000,SH,SOLE,N/A,465000,0,0
1656456,0001656456-26-000001,91324P102,UNH,UNITEDHEALTH GROUP INC,COM,,66022000,200000,SH,SOLE,N/A,200000,0,0
1656456,0001656456-26-000001,92840M102,VST,VISTRA CORP,COM,,152456850,945000,SH,SOLE,N/A,945000,0,0
1656456,0001656456-26-000001,963320106,WHR,WHIRLPOOL CORP,COM,,282067400,3910000,SH,SOLE,N/A,3910000,0,0
