filer_cik,accession,cusip,ticker,issuer,class,put_call,value_usd,shares,sh_prn_type,discretion,other_manager,vote_sole,vote_shared,vote_none
1777813,0001768757-25-000010,00091G104,ACVA,ACV AUCTIONS INC,COM CL A,,76140475,4694234,SH,SOLE,,4694234,0,0
1777813,0001768757-25-000010,007903107,AMD,ADVANCED MICRO DEVICES INC,COM,,246390052,1736364,SH,SOLE,,1736364,0,0
1777813,0001768757-25-000010,00827B106,AFRM,AFFIRM HLDGS INC,COM CL A,,136750761,1977882,SH,SOLE,,1977882,0,0
1777813,0001768757-25-000010,02079K305,GOOGL,ALPHABET INC,CAP STK CL A,,167569882,950859,SH,SOLE,,950859,0,0
1777813,0001768757-25-000010,023135106,AMZN,AMAZON COM INC,COM,,157624036,718465,SH,SOLE,,718465,0,0
1777813,0001768757-25-000010,030111207,AMSC,AMERICAN SUPERCONDUCTOR CORP,SHS NEW,,40522564,1104458,SH,SOLE,,1104458,0,0
1777813,0001768757-25-000010,04626A103,ALAB,ASTERA LABS INC,COM,,86331479,954783,SH,SOLE,,954783,0,0
1777813,0001768757-25-000010,053332102,AZO,AUTOZONE INC,COM,,35860142,9660,SH,SOLE,,9660,0,0
1777813,0001768757-25-000010,05464C101,AXON,AXON ENTERPRISE INC,COM,,43263177,52254,SH,SOLE,,52254,0,0
1777813,0001768757-25-000010,12008R107,BLDR,BUILDERS FIRSTSOURCE INC,COM,,37591800,322151,SH,SOLE,,322151,0,0
1777813,0001768757-25-000010,16935C109,CHYM,CHIME FINL INC,COM SHS CL A,,345100,10000,SH,SOLE,,10000,0,0
1777813,0001768757-25-000010,171779309,CIEN,CIENA CORP,COM NEW,,102704988,1262818,SH,SOLE,,1262818,0,0
1777813,0001768757-25-000010,20717M103,8QR,CONFLUENT INC,CLASS A COM,,75094520,3012215,SH,SOLE,,3012215,0,0
1777813,0001768757-25-000010,21873S108,CRWV,COREWEAVE INC,COM CL A,,25203043,154563,SH,SOLE,,154563,0,0
1777813,0001768757-25-000010,243537107,DECK,DECKERS OUTDOOR CORP,COM,,87828008,852120,SH,SOLE,,852120,0,0
1777813,0001768757-25-000010,253393102,DKS,DICKS SPORTING GOODS INC,COM,,172715230,873137,SH,SOLE,,873137,0,0
1777813,0001768757-25-000010,26856L103,ELF,E L F BEAUTY INC,COM,,61479209,494047,SH,SOLE,,494047,0,0
1777813,0001768757-25-000010,31488V107,FERG,FERGUSON ENTERPRISES INC,COMMON STOCK NEW,,64879919,297956,SH,SOLE,,297956,0,0
1777813,0001768757-25-000010,336433107,FSLR,FIRST SOLAR INC,COM,,65134031,393464,SH,SOLE,,393464,0,0
1777813,0001768757-25-000010,338307101,FIVN,FIVE9 INC,COM,,25304632,955613,SH,SOLE,,955613,0,0
1777813,0001768757-25-000010,37637K108,GTLB,GITLAB INC,CLASS A COM,,177652112,3938198,SH,SOLE,,3938198,0,0
1777813,0001768757-25-000010,G65163100,,JOBY AVIATION INC,COMMON STOCK,,10550000,1000000,SH,SOLE,,1000000,0,0
1777813,0001768757-25-000010,55024U109,LITE,LUMENTUM HLDGS INC,COM,,167073749,1757561,SH,SOLE,,1757561,0,0
1777813,0001768757-25-000010,57636Q104,MA,MASTERCARD INCORPORATED,CL A,,36293457,64586,SH,SOLE,,64586,0,0
