filer_cik,accession,cusip,ticker,issuer,class,put_call,value_usd,shares,sh_prn_type,discretion,other_manager,vote_sole,vote_shared,vote_none
1067983,0000950123-24-008740,02005N100,ALLY,ALLY FINL INC,COM,,504589507,12719675,SH,DFND,4,12719675,0,0
1067983,0000950123-24-008740,02005N100,ALLY,ALLY FINL INC,COM,,111229721,2803875,SH,DFND,"2,4,11",2803875,0,0
1067983,0000950123-24-008740,02005N100,ALLY,ALLY FINL INC,COM,,167732694,4228200,SH,DFND,"4,5",4228200,0,0
1067983,0000950123-24-008740,02005N100,ALLY,ALLY FINL INC,COM,,124444790,3137000,SH,DFND,"4,8,11",3137000,0,0
1067983,0000950123-24-008740,02005N100,ALLY,ALLY FINL INC,COM,,191854038,4836250,SH,DFND,"4,10",4836250,0,0
1067983,0000950123-24-008740,02005N100,ALLY,ALLY FINL INC,COM,,50579250,1275000,SH,DFND,"4,11",1275000,0,0
1067983,0000950123-24-008740,023135106,AMZN,AMAZON COM INC,COM,,1492663000,7724000,SH,DFND,4,7724000,0,0
1067983,0000950123-24-008740,023135106,AMZN,AMAZON COM INC,COM,,439837000,2276000,SH,DFND,"4,8,11",2276000,0,0
1067983,0000950123-24-008740,025816109,AXP,AMERICAN EXPRESS CO,COM,,266269070,1149942,SH,DFND,4,1149942,0,0
1067983,0000950123-24-008740,025816109,AXP,AMERICAN EXPRESS CO,COM,,34515084970,149061045,SH,DFND,"4,11",149061045,0,0
1067983,0000950123-24-008740,025816109,AXP,AMERICAN EXPRESS CO,COM,,324103545,1399713,SH,DFND,"4,13",1399713,0,0
1067983,0000950123-24-008740,037833100,AAPL,APPLE INC,COM,,145749040,692000,SH,DFND,4,692000,0,0
1067983,0000950123-24-008740,037833100,AAPL,APPLE INC,COM,,808780800,3840000,SH,DFND,"1,2,4,11",3840000,0,0
1067983,0000950123-24-008740,037833100,AAPL,APPLE INC,COM,,7161080,34000,SH,DFND,"2,4,11",34000,0,0
1067983,0000950123-24-008740,037833100,AAPL,APPLE INC,COM,,10625468967,50448528,SH,DFND,"4,5",50448528,0,0
1067983,0000950123-24-008740,037833100,AAPL,APPLE INC,COM,,573728880,2724000,SH,DFND,"4,6",2724000,0,0
1067983,0000950123-24-008740,037833100,AAPL,APPLE INC,COM,,3314359918,15736207,SH,DFND,"4,7",15736207,0,0
1067983,0000950123-24-008740,037833100,AAPL,APPLE INC,COM,,12962184133,61542988,SH,DFND,"4,8,11",61542988,0,0
1067983,0000950123-24-008740,037833100,AAPL,APPLE INC,COM,,1517306480,7204000,SH,DFND,"4,5,9",7204000,0,0
1067983,0000950123-24-008740,037833100,AAPL,APPLE INC,COM,,7023378750,33346210,SH,DFND,"4,10",33346210,0,0
1067983,0000950123-24-008740,037833100,AAPL,APPLE INC,COM,,45903379392,217944067,SH,DFND,"4,11",217944067,0,0
1067983,0000950123-24-008740,037833100,AAPL,APPLE INC,COM,,571201440,2712000,SH,DFND,"4,12",2712000,0,0
1067983,0000950123-24-008740,037833100,AAPL,APPLE INC,COM,,795301120,3776000,SH,DFND,"4,14",3776000,0,0
1067983,0000950123-24-008740,047726302,BATRK,ATLANTA BRAVES HLDGS INC,COM SER C,,4268078,108217,SH,DFND,4,108217,0,0
1067983,0000950123-24-008740,047726302,BATRK,ATLANTA BRAVES HLDGS INC,COM SER C,,3820434,96867,SH,DFND,"2,4,11",96867,0,0
1067983,0000950123-24-008740,047726302,BATRK,ATLANTA BRAVES HLDGS INC,COM SER C,,588800,14929,SH,DFND,"4,8,11",14929,0,0
1067983,0000950123-24-008740,047726302,BATRK,ATLANTA BRAVES HLDGS INC,COM SER C,,143246,3632,SH,DFND,"4,11",3632,0,0
1067983,0000950123-24-008740,060505104,BAC,BANK AMER CORP,COM,,155898400,3920000,SH,DFND,4,3920000,0,0
1067983,0000950123-24-008740,060505104,BAC,BANK AMER CORP,COM,,473263000,11900000,SH,DFND,"1,2,4,11",11900000,0,0
