filer_cik,accession,cusip,ticker,issuer,class,put_call,value_usd,shares,sh_prn_type,discretion,other_manager,vote_sole,vote_shared,vote_none
1056831,0000919574-25-003250,037833100,AAPL,APPLE INC,COM,,532788,2400,SH,SOLE,,0,0,2400
1056831,0000919574-25-003250,06417N103,OZK,BANK OZK,COM,,27443115,631602,SH,SOLE,1,500500,0,131102
1056831,0000919574-25-003250,084670108,BRK/A,BERKSHIRE HATHAWAY INC DEL,CL A,,798442,1,SH,SOLE,,0,0,1
1056831,0000919574-25-003250,084670702,BRK/B,BERKSHIRE HATHAWAY INC DEL,CL B NEW,,25945700,48717,SH,SOLE,,0,0,48717
1056831,0000919574-25-003250,218937100,CNR,CORE NATURAL RESOURCES INC,COM SHS,,385500,5000,SH,SOLE,1,5000,0,0
1056831,0000919574-25-003250,25278X109,FANG,DIAMONDBACK ENERGY INC,COM,,639520,4000,SH,SOLE,1,4000,0,0
1056831,0000919574-25-003250,29273V100,ET,ENERGY TRANSFER L P,COM UT LTD PTN,,3097094,166600,SH,SOLE,1,166600,0,0
1056831,0000919574-25-003250,293792107,EPD,ENTERPRISE PRODS PARTNERS L,COM,,186076656,5450400,SH,SOLE,1,4991100,0,459300
1056831,0000919574-25-003250,26875P101,EOG,EOG RES INC,COM,,256480,2000,SH,SOLE,1,2000,0,0
1056831,0000919574-25-003250,674599105,OXY,OCCIDENTAL PETE CORP,COM,,2680248,54300,SH,SOLE,1,42100,0,12200
1056831,0000919574-25-003250,790148100,JOE,ST JOE CO,COM,,948712406,20206867,SH,SOLE,1,18850591,0,1356276
1056831,0000919574-25-003250,084423102,WRB,WR BERKLEY CORP,COM,,18604782,261450,SH,SOLE,1,187650,0,73800
