filer_cik,accession,cusip,ticker,issuer,class,put_call,value_usd,shares,sh_prn_type,discretion,other_manager,vote_sole,vote_shared,vote_none
1569205,0001801547-25-000008,02079K305,GOOGL,ALPHABET INC,CAP STK CL A,,1198972698,6803454,SH,SOLE,,6803454,0,0
1569205,0001801547-25-000008,053015103,ADP,AUTOMATIC DATA PROCESSING IN,COM,,1345271332,4362099,SH,SOLE,,4362099,0,0
1569205,0001801547-25-000008,14888U101,,CATALYST PHARMACEUTICALS INC,COM,,58787166,2709086,SH,SOLE,,2709086,0,0
1569205,0001801547-25-000008,169905106,CHH,CHOICE HOTELS INTL INC,COM,,93116217,733892,SH,SOLE,,733892,0,0
1569205,0001801547-25-000008,171340102,CHD,CHURCH & DWIGHT CO INC,COM,,655882416,6824289,SH,SOLE,,6824289,0,0
1569205,0001801547-25-000008,189054109,CLX,CLOROX CO DEL,COM,,73662585,613497,SH,SOLE,,613497,0,0
1569205,0001801547-25-000008,26622P107,DOCS,DOXIMITY INC,CL A,,83173605,1355944,SH,SOLE,,1355944,0,0
1569205,0001801547-25-000008,30214U102,EXPO,EXPONENT INC,COM,,55794922,746820,SH,SOLE,,746820,0,0
1569205,0001801547-25-000008,34959E109,FTNT,FORTINET INC,COM,,889989231,8418362,SH,SOLE,,8418362,0,0
1569205,0001801547-25-000008,384109104,GGG,GRACO INC,COM,,77419854,900545,SH,SOLE,,900545,0,0
1569205,0001801547-25-000008,437076102,HD,HOME DEPOT INC,COM,,30565677,83367,SH,SOLE,,83367,0,0
1569205,0001801547-25-000008,45168D104,IDXX,IDEXX LABS INC,COM,,1415556262,2639289,SH,SOLE,,2639289,0,0
1569205,0001801547-25-000008,461202103,INTU,INTUIT,COM,,290273160,368540,SH,SOLE,,368540,0,0
1569205,0001801547-25-000008,562750109,MANH,MANHATTAN ASSOCIATES INC,COM,,56936920,288332,SH,SOLE,,288332,0,0
1569205,0001801547-25-000008,571903202,MAR,MARRIOTT INTL INC NEW,CL A,,1157481213,4236599,SH,SOLE,,4236599,0,0
1569205,0001801547-25-000008,57636Q104,MA,MASTERCARD INCORPORATED,CL A,,15544946,27663,SH,SOLE,,27663,0,0
1569205,0001801547-25-000008,58506Q109,MEDP,MEDPACE HLDGS INC,COM,,40028763,127537,SH,SOLE,,127537,0,0
1569205,0001801547-25-000008,30303M102,META,META PLATFORMS INC,CL A,,2634060164,3568752,SH,SOLE,,3568752,0,0
1569205,0001801547-25-000008,592688105,MTD,METTLER TOLEDO INTERNATIONAL,COM,,693128265,590037,SH,SOLE,,590037,0,0
