filer_cik,accession,cusip,ticker,issuer,class,put_call,value_usd,shares,sh_prn_type,discretion,other_manager,vote_sole,vote_shared,vote_none
1641864,0001641864-25-000007,016255101,AFW,ALIGN TECHNOLOGY INC,COM,,8776960,46358,SH,DFND,,0,0,0
1641864,0001641864-25-000007,02079K305,GOOGL,ALPHABET INC,CAP STK CL A,,66899904,379617,SH,DFND,,0,0,0
1641864,0001641864-25-000007,02079K107,GOOG,ALPHABET INC C,CAP STK CL C,,115962859,653717,SH,DFND,,0,0,0
1641864,0001641864-25-000007,023135106,AMZN,AMAZON COM INC,COM,,257564,1174,SH,DFND,,0,0,0
1641864,0001641864-25-000007,031100100,AME,AMETEK INC,COM,,180298410,996344,SH,DFND,,0,0,0
1641864,0001641864-25-000007,032654105,ADI,ANALOG DEVICES INC,COM,,41917940,176111,SH,DFND,,0,0,0
1641864,0001641864-25-000007,037833100,AAPL,APPLE INC,COM,,3482966,16976,SH,DFND,,0,0,0
1641864,0001641864-25-000007,040413205,ANET,ARISTA NETWORKS INC,COM,,49370816,482561,SH,SOLE,,0,0,0
1641864,0001641864-25-000007,060505104,BAC,BANK AMERICA CORP,COM,,47514911,1004119,SH,DFND,,0,0,0
1641864,0001641864-25-000007,06417N103,OZK,BANK OZK LITTLE ROCK ARK,COM,,59248352,1258996,SH,DFND,,0,0,0
1641864,0001641864-25-000007,084670108,BRK/A,BERKSHIRE HATHAWAY INC DEL,CL A,,8016800,11,SH,DFND,,0,0,0
1641864,0001641864-25-000007,084670702,BRK/B,BERKSHIRE HATHAWAY INC DEL,CL B NEW,,248609314,511784,SH,DFND,,0,0,0
1641864,0001641864-25-000007,M2029K104,,BIRKENSTOCK HLDG PLC,COM,,1347139,27392,SH,SOLE,,0,0,0
1641864,0001641864-25-000007,09857L108,BKNG,BOOKING HOLDINGS INC.,COM,,123252920,21290,SH,DFND,,0,0,0
1641864,0001641864-25-000007,115236101,BRO,BROWN & BROWN,COM,,35659894,321637,SH,DFND,,0,0,0
