filer_cik,accession,cusip,ticker,issuer,class,put_call,value_usd,shares,sh_prn_type,discretion,other_manager,vote_sole,vote_shared,vote_none
1489933,0001172661-25-003351,00404A109,ACHC,ACADIA HEALTHCARE COMPANY IN,COM,,16101074,709611,SH,SOLE,,709611,0,0
1489933,0001172661-25-003351,00404A109,ACHC,ACADIA HEALTHCARE COMPANY IN,COM,,3526026,155400,SH,OTR,1,155400,0,0
1489933,0001172661-25-003351,10922N103,BHF,BRIGHTHOUSE FINL INC,COM,,20271613,377006,SH,OTR,1,377006,0,0
1489933,0001172661-25-003351,10922N103,BHF,BRIGHTHOUSE FINL INC,COM,,121035141,2250979,SH,SOLE,,2250979,0,0
1489933,0001172661-25-003351,10922N103,BHF,BRIGHTHOUSE FINL INC,COM,,7103662,132112,SH,OTR,2,132112,0,0
1489933,0001172661-25-003351,G1890L107,,CAPRI HOLDINGS LIMITED,SHS,,49380646,2789867,SH,SOLE,,2789867,0,0
1489933,0001172661-25-003351,G1890L107,,CAPRI HOLDINGS LIMITED,SHS,,12199548,689240,SH,OTR,1,689240,0,0
1489933,0001172661-25-003351,15135B101,CNC,CENTENE CORP DEL,COM,,36242213,667690,SH,SOLE,,667690,0,0
1489933,0001172661-25-003351,15135B101,CNC,CENTENE CORP DEL,COM,,9307934,171480,SH,OTR,1,171480,0,0
1489933,0001172661-25-003351,N20944109,,CNH INDL N V,SHS,,20113531,1551970,SH,OTR,1,1551970,0,0
1489933,0001172661-25-003351,N20944109,,CNH INDL N V,SHS,,81915494,6320640,SH,SOLE,,6320640,0,0
1489933,0001172661-25-003351,218937100,CNR,CORE NATURAL RESOURCES INC,COM SHS,,120673075,1730328,SH,SOLE,,1730328,0,0
1489933,0001172661-25-003351,218937100,CNR,CORE NATURAL RESOURCES INC,COM SHS,,29661259,425312,SH,OTR,1,425312,0,0
1489933,0001172661-25-003351,22407B108,COYA,COYA THERAPEUTICS INC,COMMON STOCK,,7260347,1262669,SH,SOLE,,1262669,0,0
1489933,0001172661-25-003351,22407B108,COYA,COYA THERAPEUTICS INC,COMMON STOCK,,2206683,383771,SH,OTR,1,383771,0,0
1489933,0001172661-25-003351,Y2065G121,,DHT HOLDINGS INC,SHS NEW,,65520859,6061134,SH,SOLE,,6061134,0,0
1489933,0001172661-25-003351,Y2065G121,,DHT HOLDINGS INC,SHS NEW,,16861438,1559800,SH,OTR,1,1559800,0,0
1489933,0001172661-25-003351,343412102,FLR,FLUOR CORP NEW,COM,,38999038,760660,SH,OTR,1,760660,0,0
1489933,0001172661-25-003351,343412102,FLR,FLUOR CORP NEW,COM,,156830828,3058920,SH,SOLE,,3058920,0,0
1489933,0001172661-25-003351,36269B105,GANX,GAIN THERAPEUTICS INC,COM,,885834,492130,SH,SOLE,,492130,0,0
1489933,0001172661-25-003351,36269B105,GANX,GAIN THERAPEUTICS INC,COM,,133200,74000,SH,OTR,1,74000,0,0
1489933,0001172661-25-003351,36315X101,LKFT,GALAPAGOS NV,SPON ADR,,2986057,106683,SH,OTR,1,106683,0,0
1489933,0001172661-25-003351,36315X101,LKFT,GALAPAGOS NV,SPON ADR,,10526003,376063,SH,SOLE,,376063,0,0
1489933,0001172661-25-003351,38268T103,GPRO,GOPRO INC,CL A,,275778,364160,SH,OTR,1,364160,0,0
1489933,0001172661-25-003351,38268T103,GPRO,GOPRO INC,CL A,,1862155,2458940,SH,SOLE,,2458940,0,0
1489933,0001172661-25-003351,388689101,GPK,GRAPHIC PACKAGING HLDG CO,COM,,79523237,3774240,SH,SOLE,,3774240,0,0
1489933,0001172661-25-003351,388689101,GPK,GRAPHIC PACKAGING HLDG CO,COM,,19631130,931710,SH,OTR,1,931710,0,0
1489933,0001172661-25-003351,392709101,GRBK,GREEN BRICK PARTNERS INC,COM,,51868203,824876,SH,OTR,1,824876,0,0
1489933,0001172661-25-003351,392709101,GRBK,GREEN BRICK PARTNERS INC,COM,,543440840,8642507,SH,SOLE,,8642507,0,0
1489933,0001172661-25-003351,40434L105,HPQ,HP INC,COM,,16099817,658210,SH,OTR,1,658210,0,0
1489933,0001172661-25-003351,40434L105,HPQ,HP INC,COM,,57739298,2360560,SH,SOLE,,2360560,0,0
1489933,0001172661-25-003351,485859110,,KATAPULT HOLDINGS INC,*W EXP 06/09/202,,283,35600,SH,OTR,1,35600,0,0
1489933,0001172661-25-003351,485859110,,KATAPULT HOLDINGS INC,*W EXP 06/09/202,,1802,226627,SH,SOLE,,226627,0,0
1489933,0001172661-25-003351,50155Q100,KD,KYNDRYL HLDGS INC,COMMON STOCK,,27524249,655964,SH,OTR,1,655964,0,0
1489933,0001172661-25-003351,50155Q100,KD,KYNDRYL HLDGS INC,COMMON STOCK,,111417773,2655333,SH,SOLE,,2655333,0,0
1489933,0001172661-25-003351,G61188101,,LIBERTY GLOBAL LTD,COM CL A,,41247927,4120672,SH,SOLE,,4120672,0,0
1489933,0001172661-25-003351,G61188101,,LIBERTY GLOBAL LTD,COM CL A,,11009298,1099830,SH,OTR,1,1099830,0,0
1489933,0001172661-25-003351,67080N101,NUVB,NUVATION BIO INC,COM CL A,,68240,34995,SH,OTR,2,34995,0,0
1489933,0001172661-25-003351,67080N119,NUVB/WS,NUVATION BIO INC,*W EXP 02/10/202,,26990,100000,SH,OTR,2,100000,0,0
1489933,0001172661-25-003351,70614W100,PTON,PELOTON INTERACTIVE INC,CL A COM,,997694,143760,SH,SOLE,,143760,0,0
1489933,0001172661-25-003351,70614W100,PTON,PELOTON INTERACTIVE INC,CL A COM,,247827,35710,SH,OTR,1,35710,0,0
1489933,0001172661-25-003351,707569109,PENN,PENN ENTERTAINMENT INC,COM,,26755411,1497225,SH,OTR,1,1497225,0,0
1489933,0001172661-25-003351,707569109,PENN,PENN ENTERTAINMENT INC,COM,,3840978,214940,SH,OTR,2,214940,0,0
1489933,0001172661-25-003351,707569109,PENN,PENN ENTERTAINMENT INC,COM,,103329254,5782275,SH,SOLE,,5782275,0,0
1489933,0001172661-25-003351,G76279101,ROIV,ROIVANT SCIENCES LTD,SHS,,9442119,837810,SH,OTR,1,837810,0,0
1489933,0001172661-25-003351,G76279101,ROIV,ROIVANT SCIENCES LTD,SHS,,37995531,3371387,SH,SOLE,,3371387,0,0
1489933,0001172661-25-003351,G76279101,ROIV,ROIVANT SCIENCES LTD,SHS,,3852762,341860,SH,OTR,2,341860,0,0
1489933,0001172661-25-003351,G7997W102,,SEADRILL LTD,COM,,32869410,1252168,SH,SOLE,,1252168,0,0
1489933,0001172661-25-003351,G7997W102,,SEADRILL LTD,COM,,8837325,336660,SH,OTR,1,336660,0,0
1489933,0001172661-25-003351,83601L102,SHC,SOTERA HEALTH CO,COM,,2081330,187170,SH,SOLE,,187170,0,0
1489933,0001172661-25-003351,83601L102,SHC,SOTERA HEALTH CO,COM,,517302,46520,SH,OTR,1,46520,0,0
1489933,0001172661-25-003351,78463V107,GQ9,SPDR GOLD TR,GOLD SHS,,49788189,163331,SH,SOLE,,163331,0,0
1489933,0001172661-25-003351,78463V107,GQ9,SPDR GOLD TR,GOLD SHS,,1853366,6080,SH,OTR,1,6080,0,0
1489933,0001172661-25-003351,87162W100,SNX,TD SYNNEX CORPORATION,COM,,3594693,26490,SH,SOLE,,26490,0,0
1489933,0001172661-25-003351,87162W100,SNX,TD SYNNEX CORPORATION,COM,,920046,6780,SH,OTR,1,6780,0,0
1489933,0001172661-25-003351,878742204,TECK,TECK RESOURCES LTD,CL B,,63757193,1578930,SH,SOLE,,1578930,0,0
1489933,0001172661-25-003351,878742204,TECK,TECK RESOURCES LTD,CL B,,17002807,421070,SH,OTR,1,421070,0,0
1489933,0001172661-25-003351,881624209,TEVA,TEVA PHARMACEUTICAL INDS LTD,SPONSORED ADS,,50381515,3006057,SH,SOLE,,3006057,0,0
1489933,0001172661-25-003351,881624209,TEVA,TEVA PHARMACEUTICAL INDS LTD,SPONSORED ADS,,12950787,772720,SH,OTR,1,772720,0,0
1489933,0001172661-25-003351,125523100,CI,THE CIGNA GROUP,COM,,6165317,18650,SH,OTR,1,18650,0,0
1489933,0001172661-25-003351,125523100,CI,THE CIGNA GROUP,COM,,24826558,75100,SH,SOLE,,75100,0,0
1489933,0001172661-25-003351,92189H607,OIH,VANECK ETF TRUST,OIL SERVICES ETF,,730019,3170,SH,OTR,1,3170,0,0
1489933,0001172661-25-003351,92189H607,OIH,VANECK ETF TRUST,OIL SERVICES ETF,,2940803,12770,SH,SOLE,,12770,0,0
1489933,0001172661-25-003351,92189F106,GDX,VANECK ETF TRUST,GOLD MINERS ETF,,3117353,59880,SH,SOLE,,59880,0,0
1489933,0001172661-25-003351,92189F106,GDX,VANECK ETF TRUST,GOLD MINERS ETF,,863155,16580,SH,OTR,1,16580,0,0
1489933,0001172661-25-003351,926400102,VSXY,VICTORIAS SECRET AND CO,COMMON STOCK,,3116360,168270,SH,OTR,1,168270,0,0
