filer_cik,accession,cusip,ticker,issuer,class,put_call,value_usd,shares,sh_prn_type,discretion,other_manager,vote_sole,vote_shared,vote_none
921669,0001539497-25-002973,025537101,AEP,American Electric Power Company,COM,,135596250,1205300,SH,DFND,1,0,1205300,0
921669,0001539497-25-002973,071705107,BLCO,Bausch Plus Lomb Corp.,COMMON SHARES,,52745000,3500000,SH,DFND,1,0,3500000,0
921669,0001539497-25-002973,12769G100,CZR,"Caesars Entertainment, Inc.",COM,,65943946,2440109,SH,DFND,1,0,2440109,0
921669,0001539497-25-002973,155923105,CTRI,"Centuri Holdings, Inc.",COM SHS,,229645216,10847672,SH,DFND,1,0,10847672,0
921669,0001539497-25-002973,12662P108,FL9,CVR Energy Inc,COM,,1899535233,52070593,SH,DFND,7,0,52070593,0
921669,0001539497-25-002973,12662P108,FL9,CVR Energy Inc,COM,,565440000,15500000,SH,DFND,8,0,15500000,0
921669,0001539497-25-002973,12662P108,FL9,CVR Energy Inc,COM,,103890589,2847878,SH,DFND,10,0,2847878,0
921669,0001539497-25-002973,126633205,UAN,"CVR Partners, LP",COM,,350747040,3892000,SH,DFND,9,0,3892000,0
921669,0001539497-25-002973,126633205,UAN,"CVR Partners, LP",COM,,24537333,272274,SH,DFND,10,0,272274,0
921669,0001539497-25-002973,278768106,ECHO,EchoStar Corporation,CL A,,332512827,4354542,SH,DFND,1,0,4354542,0
921669,0001539497-25-002973,451100101,IEP,Icahn Enterprises LP,DEPOSITARY UNIT,,2189487897,260034192,SH,DFND,2,0,260034192,0
921669,0001539497-25-002973,451100101,IEP,Icahn Enterprises LP,DEPOSITARY UNIT,,482647291,57321531,SH,DFND,3,0,57321531,0
921669,0001539497-25-002973,451100101,IEP,Icahn Enterprises LP,DEPOSITARY UNIT,,933555510,110873576,SH,DFND,6,0,110873576,0
921669,0001539497-25-002973,451100101,IEP,Icahn Enterprises LP,DEPOSITARY UNIT,,600619237,71332451,SH,DFND,4,0,71332451,0
921669,0001539497-25-002973,451100101,IEP,Icahn Enterprises LP,DEPOSITARY UNIT,,163105453,19371194,SH,DFND,5,0,19371194,0
921669,0001539497-25-002973,459506101,IFF,International Flavors and Fragrances Inc.,COM,,292315000,4750000,SH,DFND,1,0,4750000,0
921669,0001539497-25-002973,610236101,MNRO,"Monro, Inc.",COM,,26326050,1465000,SH,DFND,1,0,1465000,0
921669,0001539497-25-002973,477143101,JBLU,JetBlue Airways Corp.,COM,,165418936,33621735,SH,DFND,1,0,33621735,0
921669,0001539497-25-002973,80007P869,SA2D,"SandRidge Energy, Inc.",COM NEW,,54936227,4870233,SH,DFND,1,0,4870233,0
921669,0001539497-25-002973,844895102,SWX,Southwest Gas Holdings Inc.,COM,,472594197,6032604,SH,DFND,1,0,6032604,0
