filer_cik,accession,cusip,ticker,issuer,class,put_call,value_usd,shares,sh_prn_type,discretion,other_manager,vote_sole,vote_shared,vote_none
898382,0000945621-26-001056,023135106,AMZN,AMAZON.COM INC,COM,,40398630,169500,SH,SOLE,,169500,0,0
898382,0000945621-26-001056,H2927K103,,AMRIZE LTD,SHS,,46904000,880000,SH,SOLE,,880000,0,0
898382,0000945621-26-001056,03769M106,APO,APOLLO GLOBAL MANAGEMENT INC,COM,,158180470,1337000,SH,SOLE,,1337000,0,0
898382,0000945621-26-001056,038923108,ABR,ARBOR REALTY TRUST INC,COM,,9022885,1664739,SH,SOLE,,1664739,0,0
898382,0000945621-26-001056,044186104,ASH,ASHLAND INC,COM,,124861550,1895000,SH,SOLE,,1895000,0,0
898382,0000945621-26-001056,14040H105,COF,CAPITAL ONE FINANCIAL CORP,COM,,91282100,455000,SH,SOLE,,455000,0,0
898382,0000945621-26-001056,25253X207,DMAC,DIAMEDICA THERAPEUTICS INC,COM,,24288000,3450000,SH,SOLE,,3450000,0,0
898382,0000945621-26-001056,29273V100,ET,ENERGY TRANSFER LP,COM UT LTD PTN,,254680312,13320100,SH,SOLE,,13320100,0,0
898382,0000945621-26-001056,293792107,EPD,ENTERPRISE PRODUCTS PARTNERS,COM,,50499234,1373755,SH,SOLE,,1373755,0,0
898382,0000945621-26-001056,31738L206,FOA,FINANCE OF AMERICA COS INC,CL A,,35392591,1286068,SH,SOLE,,1286068,0,0
898382,0000945621-26-001056,35473P827,FLCA,FRANKLIN TEMPLETON ETF TR,FTSE CANADA,,129807,2522,SH,SOLE,,2522,0,0
898382,0000945621-26-001056,36266G107,GEHC,GE HEALTHCARE TECHNOLOGY,COMMON STOCK,,83821095,1309500,SH,SOLE,,1309500,0,0
898382,0000945621-26-001056,20459V105,GPGI,GPGI INC,COM CL A,,180444452,11384508,SH,SOLE,,11384508,0,0
898382,0000945621-26-001056,46434V738,IEUR,ISHARES TR,CORE MSCI EURO,,2885626,38388,SH,SOLE,,38388,0,0
898382,0000945621-26-001056,464286509,EWC,ISHARES INC,MSCI CDA ETF,,722287,12531,SH,SOLE,,12531,0,0
898382,0000945621-26-001056,464287465,EFA,ISHARES TR,MSCI EAFE ETF,,5968218,57453,SH,SOLE,,57453,0,0
898382,0000945621-26-001056,46434G822,EWJ,ISHARES INC,MSCI JAPAN ETF,,1894780,20315,SH,SOLE,,20315,0,0
898382,0000945621-26-001056,464286665,EPP,ISHARES INC,MSCI PAC JP ETF,,405309,7610,SH,SOLE,,7610,0,0
898382,0000945621-26-001056,48669G303,KZIA,KAZIA THERAPEUTICS,SPONSORED ADS,,704000,50000,SH,SOLE,,50000,0,0
898382,0000945621-26-001056,48242W106,KBR,KBR INC,COM,,73376250,2125000,SH,SOLE,,2125000,0,0
898382,0000945621-26-001056,536797103,LAD,LITHIA MOTORS INC,COM,,98766600,340000,SH,SOLE,,340000,0,0
898382,0000945621-26-001056,G5784H106,,MANCHESTER UNITED PLC,ORD CL A,,67232503,2932076,SH,SOLE,,2932076,0,0
898382,0000945621-26-001056,60471A101,MIR,MIRION TECHNOLOGIES INC,COM CL A,,150315097,8383441,SH,SOLE,,8383441,0,0
898382,0000945621-26-001056,620076307,MSI,MOTOROLA SOLUTIONS INC,COM,,56064150,135000,SH,SOLE,,135000,0,0
898382,0000945621-26-001056,553368101,MP,MP MATERIALS CORP,COM CL A,,168030000,3000000,SH,SOLE,,3000000,0,0
898382,0000945621-26-001056,68268W103,OMF,ONEMAIN HOLDINGS INC,COM,,129866100,2130000,SH,SOLE,,2130000,0,0
898382,0000945621-26-001056,G3398L118,PLGO,PELAGOS INSURANCE CAPITAL LT,COM,,207252858,8511411,SH,SOLE,,8511411,0,0
898382,0000945621-26-001056,77311W101,RKT,ROCKET COS INC,COM CL A,,331011450,21016600,SH,SOLE,,21016600,0,0
898382,0000945621-26-001056,81141R100,SE,SEA LTD,SPONSORD ADS,,31246138,326058,SH,SOLE,,326058,0,0
898382,0000945621-26-001056,86765K109,SUN,SUNOCO LP,COM UT REP LP,,15254595,225994,SH,SOLE,,225994,0,0
898382,0000945621-26-001056,125523100,CI,THE CIGNA GROUP,COM,,89596000,325000,SH,SOLE,,325000,0,0
898382,0000945621-26-001056,36472T109,TDAY,USA TODAY CO INC,COM,,53625267,6271961,SH,SOLE,,6271961,0,0
898382,0000945621-26-001056,922042874,VGK,VANGUARD INTL EQUITY INDEX F,FTSE EUROPE ETF,,2186318,24693,SH,SOLE,,24693,0,0
898382,0000945621-26-001056,92206C706,VGIT,VANGUARD SCOTTSDALE FDS,INTER TERM TREAS,,1476151,25028,SH,SOLE,,25028,0,0
898382,0000945621-26-001056,922908363,VOO,VANGUARD INDEX FDS,S&P 500 ETF SHS,,29457968,42891,SH,SOLE,,42891,0,0
898382,0000945621-26-001056,922907746,VTEB,VANGUARD MUN BD FDS,TAX EXEMPT BD,,651268,12876,SH,SOLE,,12876,0,0
898382,0000945621-26-001056,92537N108,VRT,VERTIV HOLDINGS CO,COM CL A,,722470913,2157789,SH,SOLE,,2157789,0,0
898382,0000945621-26-001056,971378104,WSC,WILLSCOT HOLDINGS CORP,COM CL A,,116335122,4031016,SH,SOLE,,4031016,0,0
898382,0000945621-26-001056,96524T101,WHK,Whitehawk Minerals Corp.,CL A,,90727029,3261216,SH,SOLE,,3261216,0,0
