filer_cik,accession,cusip,ticker,issuer,class,put_call,value_usd,shares,sh_prn_type,discretion,other_manager,vote_sole,vote_shared,vote_none
1484150,0001172661-26-001535,00724F101,ADBE,ADOBE INC,COM,,1701560,7000,SH,SOLE,,7000,0,0
1484150,0001172661-26-001535,02079K305,GOOGL,ALPHABET INC,CAP STK CL A,,490185991,1704639,SH,SOLE,,1545911,0,158728
1484150,0001172661-26-001535,025816109,AXP,AMERICAN EXPRESS CO,COM,,2722320,9000,SH,SOLE,,9000,0,0
1484150,0001172661-26-001535,115637100,BF/A,BROWN FORMAN CORP,CL A,,69258097,2585222,SH,SOLE,,2439680,0,145542
1484150,0001172661-26-001535,115637209,BF/B,BROWN FORMAN CORP,CL B,,41670736,1576049,SH,SOLE,,1379324,0,196725
1484150,0001172661-26-001535,13646K108,CP,CANADIAN PACIFIC KANSAS CITY,COM,,2359800,30000,SH,SOLE,,30000,0,0
1484150,0001172661-26-001535,12572Q105,CME,CME GROUP INC,COM,,2037915,6900,SH,SOLE,,6900,0,0
1484150,0001172661-26-001535,191216100,KO,COCA COLA CO,COM,,912600,12000,SH,SOLE,,12000,0,0
1484150,0001172661-26-001535,194162103,CL,COLGATE PALMOLIVE CO,COM,,852300,10000,SH,SOLE,,10000,0,0
1484150,0001172661-26-001535,254687106,DIS,DISNEY WALT CO,COM,,309033507,3206407,SH,SOLE,,2888245,0,318162
1484150,0001172661-26-001535,278642103,EBAY,EBAY INC.,COM,,175439685,1927485,SH,SOLE,,1736451,0,191034
1484150,0001172661-26-001535,294429105,EFX,EQUIFAX INC,COM,,2070805,11500,SH,SOLE,,11500,0,0
1484150,0001172661-26-001535,303250104,FICO,FAIR ISAAC CORP,COM,,266267962,249422,SH,SOLE,,226636,0,22786
1484150,0001172661-26-001535,461202103,INTU,INTUIT,COM,,317236774,733699,SH,SOLE,,656475,0,77224
1484150,0001172661-26-001535,518439104,EL,LAUDER ESTEE COS INC,CL A,,1076550,15000,SH,SOLE,,15000,0,0
1484150,0001172661-26-001535,55825T103,MSGS,MADISON SQUARE GRDN SPRT COR,CL A,,899920,2800,SH,SOLE,,2800,0,0
1484150,0001172661-26-001535,G5784H106,,MANCHESTER UTD PLC NEW,ORD CL A,,52848440,3142000,SH,SOLE,,2836000,0,306000
1484150,0001172661-26-001535,609207105,MDLZ,MONDELEZ INTL INC,CL A,,205311605,3561964,SH,SOLE,,3234522,0,327442
1484150,0001172661-26-001535,654106103,NKE,NIKE INC,CL B,,1098656,20800,SH,SOLE,,20800,0,0
1484150,0001172661-26-001535,68389X105,ORCL,ORACLE CORP,COM,,1323990,9000,SH,SOLE,,9000,0,0
1484150,0001172661-26-001535,70450Y103,PYPL,PAYPAL HLDGS INC,COM,,189044348,4179623,SH,SOLE,,3894729,0,284894
1484150,0001172661-26-001535,713448108,PEP,PEPSICO INC,COM,,198334059,1277185,SH,SOLE,,1142798,0,134387
1484150,0001172661-26-001535,78409V104,SPGI,S&P GLOBAL INC,COM,,3104982,7300,SH,SOLE,,7300,0,0
1484150,0001172661-26-001535,883556102,TMO,THERMO FISHER SCIENTIFIC INC,COM,,303377723,617211,SH,SOLE,,551496,0,65715
1484150,0001172661-26-001535,87256C101,TKO,TKO GROUP HOLDINGS INC,CL A,,493935222,2449468,SH,SOLE,,2203462,0,246006
1484150,0001172661-26-001535,92345Y106,VRSK,VERISK ANALYTICS INC,COM,,1593900,8400,SH,SOLE,,8400,0,0
1484150,0001172661-26-001535,92826C839,V,VISA INC,COM CL A,,3113072,10300,SH,SOLE,,10300,0,0
