filer_cik,accession,cusip,ticker,issuer,class,put_call,value_usd,shares,sh_prn_type,discretion,other_manager,vote_sole,vote_shared,vote_none
1061165,0000902664-24-005150,023135106,AMZN,AMAZON COM INC,COM,,859630110,4448280,SH,SOLE,,4448280,0,0
1061165,0000902664-24-005150,03831W108,APP,APPLOVIN CORP,COM CL A,,474556890,5702438,SH,SOLE,,5702438,0,0
1061165,0000902664-24-005150,03990B101,ARES,ARES MANAGEMENT CORPORATION,CL A COM STK,,209884413,1574763,SH,SOLE,,1574763,0,0
1061165,0000902664-24-005150,N07059210,ASML,ASML HOLDING N V,N Y REGISTRY SHS,,601253762,587891,SH,SOLE,,587891,0,0
1061165,0000902664-24-005150,05368X102,AVDX,AVIDXCHANGE HOLDINGS INC,COM,,61244792,5078341,SH,SOLE,,5078341,0,0
1061165,0000902664-24-005150,070830104,BBWI,BATH & BODY WORKS INC,COM,,441870861,11315515,SH,SOLE,,11315515,0,0
1061165,0000902664-24-005150,852234103,XYZ,BLOCK INC,CL A,,494672028,7670523,SH,SOLE,,7670523,0,0
1061165,0000902664-24-005150,09857L108,BKNG,BOOKING HOLDINGS INC,COM,,416658686,105177,SH,SOLE,,105177,0,0
1061165,0000902664-24-005150,21037T109,CEG,CONSTELLATION ENERGY CORP,COM,,321423937,1604953,SH,SOLE,,1604953,0,0
1061165,0000902664-24-005150,36828A101,GEV,GE VERNOVA INC,COM,,253321642,1477008,SH,SOLE,,1477008,0,0
1061165,0000902664-24-005150,443201108,HWM,HOWMET AEROSPACE INC,COM,,284538869,3665321,SH,SOLE,,3665321,0,0
1061165,0000902664-24-005150,461202103,INTU,INTUIT,COM,,593099165,902450,SH,SOLE,,902450,0,0
1061165,0000902664-24-005150,48251W104,KKR,KKR & CO INC,COM,,672010651,6385506,SH,SOLE,,6385506,0,0
1061165,0000902664-24-005150,50212V100,LPLA,LPL FINL HLDGS INC,COM,,470640051,1685070,SH,SOLE,,1685070,0,0
1061165,0000902664-24-005150,57636Q104,MA,MASTERCARD INCORPORATED,CL A,,460375606,1043557,SH,SOLE,,1043557,0,0
1061165,0000902664-24-005150,58155Q103,MCK,MCKESSON CORP,COM,,327609061,560936,SH,SOLE,,560936,0,0
1061165,0000902664-24-005150,30303M102,META,META PLATFORMS INC,CL A,,703103024,1394437,SH,SOLE,,1394437,0,0
1061165,0000902664-24-005150,594918104,MSFT,MICROSOFT CORP,COM,,902930625,2020205,SH,SOLE,,2020205,0,0
1061165,0000902664-24-005150,718172109,PM,PHILIP MORRIS INTL INC,COM,,675985502,6671129,SH,SOLE,,6671129,0,0
1061165,0000902664-24-005150,69370C100,PTC,PTC INC,COM,,462931312,2548199,SH,SOLE,,2548199,0,0
1061165,0000902664-24-005150,L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,SHS,,529493953,1687415,SH,SOLE,,1687415,0,0
1061165,0000902664-24-005150,874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,SPONSORED ADS,,1043242034,6002198,SH,SOLE,,6002198,0,0
1061165,0000902664-24-005150,91324P102,UNH,UNITEDHEALTH GROUP INC,COM,,480902875,944317,SH,SOLE,,944317,0,0
1061165,0000902664-24-005150,92840M102,VST,VISTRA CORP,COM,,587931842,6838007,SH,SOLE,,6838007,0,0
