filer_cik,accession,cusip,ticker,issuer,class,put_call,value_usd,shares,sh_prn_type,discretion,other_manager,vote_sole,vote_shared,vote_none
934639,0000947871-26-000793,00370M103,ABVX,ABIVAX SA,SPONSORED ADS,,5330400,40000,SH,SOLE,,0,0,0
934639,0000947871-26-000793,00108J109,ACMR,ACM RESH INC,COM CL A,,674420,5315,SH,SOLE,,0,0,0
934639,0000947871-26-000793,007973100,AEIS,ADVANCED ENERGY INDS,COM,,595846,1598,SH,SOLE,,0,0,0
934639,0000947871-26-000793,007903107,AMD,ADVANCED MICRO DEVICES INC,COM,,567157537,976326,SH,SOLE,,0,0,0
934639,0000947871-26-000793,H01301128,,ALCON AG,ORD SHS,,2216716,33036,SH,SOLE,,0,0,0
934639,0000947871-26-000793,01749D105,ALGM,ALLEGRO MICROSYSTEMS INC,COM,,702744,10094,SH,SOLE,,0,0,0
934639,0000947871-26-000793,02079K107,GOOG,ALPHABET INC,CAP STK CL C,,509543553,1442118,SH,SOLE,,0,0,0
934639,0000947871-26-000793,02209S103,MO,ALTRIA GROUP INC,COM,,3611962,50201,SH,SOLE,,0,0,0
934639,0000947871-26-000793,023135106,AMZN,AMAZON COM INC,COM,,481659876,2020894,SH,SOLE,,0,0,0
934639,0000947871-26-000793,031652100,AMKR,AMKOR TECHNOLOGY INC,COM,,763998,8860,SH,SOLE,,0,0,0
934639,0000947871-26-000793,032095101,APH,AMPHENOL CORP,CL A,,1132503,6423,SH,SOLE,,0,0,0
934639,0000947871-26-000793,032654105,ADI,ANALOG DEVICES INC,COM,,1073948,2704,SH,SOLE,,0,0,0
934639,0000947871-26-000793,03524A108,BUD,ANHEUSER BUSCH INBEV SA NV,SPONSORED ADR,,1670166,20269,SH,SOLE,,0,0,0
934639,0000947871-26-000793,038222105,AMAT,APPLIED MATLS INC,COM,,1784364,2468,SH,SOLE,,0,0,0
934639,0000947871-26-000793,03823U102,AAOI,APPLIED OPTOELECTRONICS INC,COM,,620494,4188,SH,SOLE,,0,0,0
934639,0000947871-26-000793,040413205,ANET,ARISTA NETWORKS INC,COM SHS,,1152636,6785,SH,SOLE,,0,0,0
934639,0000947871-26-000793,042068205,ARM,ARM HOLDINGS PLC,SPONSORED ADS,,1351975,3813,SH,SOLE,,0,0,0
934639,0000947871-26-000793,042735100,ARW,ARROW ELECTRS INC,COM,,540141,2531,SH,SOLE,,0,0,0
934639,0000947871-26-000793,00215W100,ASX,ASE TECHNOLOGY HLDG CO LTD,SPONSORED ADS,,944542,20934,SH,SOLE,,0,0,0
934639,0000947871-26-000793,N07059210,ASML,ASML HLDG NV,N Y REGISTRY SHS,,1949651,980,SH,SOLE,,0,0,0
934639,0000947871-26-000793,04626A103,ALAB,ASTERA LABS INC,COM,,515486189,1067215,SH,SOLE,,0,0,0
934639,0000947871-26-000793,053807103,AVT,AVNET INC,COM,,512580,5771,SH,SOLE,,0,0,0
934639,0000947871-26-000793,054540208,ACLS,AXCELIS TECHNOLOGIES INC,COM NEW,,498254,2630,SH,SOLE,,0,0,0
934639,0000947871-26-000793,064149107,BNS,BANK NOVA SCOTIA B C,COM,,3989430,46020,SH,SOLE,,0,0,0
934639,0000947871-26-000793,06849F108,B,BARRICK MNG CORP,COM SHS,,491425,13378,SH,SOLE,,0,0,0
934639,0000947871-26-000793,07782B104,BLTE,BELITE BIO INC,SPONSORED ADS,,61025949,396311,SH,SOLE,,0,0,0
934639,0000947871-26-000793,09073M104,TECH,BIO-TECHNE CORP,COM,,108490847,1535610,SH,SOLE,,0,0,0
934639,0000947871-26-000793,101137107,BSX,BOSTON SCIENTIFIC CORP,COM,,253414762,5937553,SH,SOLE,,0,0,0
934639,0000947871-26-000793,110448107,BTI,BRITISH AMERN TOB PLC,SPONSORED ADR,,2265480,36682,SH,SOLE,,0,0,0
934639,0000947871-26-000793,11135F101,AVGO,BROADCOM INC,COM,,2166019,5734,SH,SOLE,,0,0,0
934639,0000947871-26-000793,115637209,BF/B,BROWN FORMAN CORP,CL B,,3045722,114286,SH,SOLE,,0,0,0
934639,0000947871-26-000793,H11356104,,BUNGE GLOBAL SA,COM SHS,,4271121,40018,SH,SOLE,,0,0,0
