filer_cik,accession,cusip,ticker,issuer,class,put_call,value_usd,shares,sh_prn_type,discretion,other_manager,vote_sole,vote_shared,vote_none
1336528,0001172661-24-005218,02079K107,GOOG,ALPHABET INC,CAP STK CL C,,1261880235,7547582,SH,SOLE,,7547582,0,0
1336528,0001172661-24-005218,02079K305,GOOGL,ALPHABET INC,CAP STK CL A,,661159035,3986488,SH,SOLE,,3986488,0,0
1336528,0001172661-24-005218,11271J107,BN,BROOKFIELD CORP,CL A LTD VT SH,,1739912181,32735883,SH,SOLE,,32735883,0,0
1336528,0001172661-24-005218,13646K108,CP,CANADIAN PACIFIC KANSAS CITY,COM,,1272634267,14877651,SH,SOLE,,14877651,0,0
1336528,0001172661-24-005218,169656105,CMG,CHIPOTLE MEXICAN GRILL INC,COM,,1660329807,28815165,SH,SOLE,,28815165,0,0
1336528,0001172661-24-005218,43300A203,HLT,HILTON WORLDWIDE HLDGS INC,COM,,1698823724,7370168,SH,SOLE,,7370168,0,0
1336528,0001172661-24-005218,44267T102,HHH,HOWARD HUGHES HOLDINGS INC,COM,,1459715316,18852064,SH,SOLE,,18852064,0,0
1336528,0001172661-24-005218,654106103,NKE,NIKE INC,CL B,,1439181879,16280338,SH,SOLE,,16280338,0,0
1336528,0001172661-24-005218,76131D103,QSR,RESTAURANT BRANDS INTL INC,COM,,1658825918,23000914,SH,SOLE,,23000914,0,0
1336528,0001172661-24-005218,812215101,,SEAPORT ENTMT GROUP INC,RIGHT 10/10/2024,,6179285,2094673,SH,SOLE,,2094673,0,0
1336528,0001172661-24-005218,812215200,SEG,SEAPORT ENTMT GROUP INC,COMMON STOCK,,57435934,2094673,SH,SOLE,,2094673,0,0
