filer_cik,accession,cusip,ticker,issuer,class,put_call,value_usd,shares,sh_prn_type,discretion,other_manager,vote_sole,vote_shared,vote_none
2045724,0002045724-25-000002,038169207,APLD,Applied Digital Corp,COM NEW,,22680072,4035600,SH,SOLE,,4035600,0,0
2045724,0002045724-25-000002,11135F101,AVGO,Broadcom Inc,COM,,117201000,700000,SH,SOLE,,700000,0,0
2045724,0002045724-25-000002,21037T109,CEG,Constellation Energy Corp,COM,,36978942,183400,SH,SOLE,,183400,0,0
2045724,0002045724-25-000002,21874A106,CORZ,Core Scientific Inc New,COM,,32736225,4521578,SH,SOLE,,4521578,0,0
2045724,0002045724-25-000002,21873S108,CRWV,CoreWeave Inc,COM CL A,,45423000,1225000,SH,SOLE,,1225000,0,0
2045724,0002045724-25-000002,26884L109,EQT,EQT Corp,COM,,52863535,989398,SH,SOLE,,989398,0,0
2045724,0002045724-25-000002,Q4982L109,,IREN Limited,ORDINARY SHARES,,20499732,3366130,SH,SOLE,,3366130,0,0
2045724,0002045724-25-000002,458140100,INTC,Intel Corp,COM,Call,459591354,20237400,SH,SOLE,,0,0,20237400
2045724,0002045724-25-000002,607828100,MOD,Modine Mfg Co,COM,,55016242,716824,SH,SOLE,,716824,0,0
2045724,0002045724-25-000002,683344105,ONTO,Onto Innovation Inc,COM,,71192241,586717,SH,SOLE,,586717,0,0
2045724,0002045724-25-000002,87422Q109,TLN,Talen Energy Corp,COM,,29630030,148395,SH,SOLE,,148395,0,0
2045724,0002045724-25-000002,92840M102,VST,Vistra Corp,COM,,61755354,525846,SH,SOLE,,525846,0,0
