filer_cik,accession,cusip,ticker,issuer,class,put_call,value_usd,shares,sh_prn_type,discretion,other_manager,vote_sole,vote_shared,vote_none
1647251,0001647251-24-000011,N3168P101,FER,FERROVIAL SE,ORD SHS,,820309341,19095244,SH,SOLE,,19095244,0,0
1647251,0001647251-24-000011,02079K107,GOOG,ALPHABET INC,CAP STK CL C,,2830034493,16927056,SH,SOLE,,16927056,0,0
1647251,0001647251-24-000011,02079K305,GOOGL,ALPHABET INC,CAP STK CL A,,999645949,6027410,SH,SOLE,,6027410,0,0
1647251,0001647251-24-000011,136375102,CNR,CANADIAN NATL RY CO,COM,,4150341855,35437277,SH,SOLE,,35437277,0,0
1647251,0001647251-24-000011,13646K108,CP,CANADIAN PACIFIC KANSAS CITY,COM,,4696733365,54913285,SH,SOLE,,54913285,0,0
1647251,0001647251-24-000011,369604301,GE,GE AEROSPACE,COM NEW,,9085855306,48180376,SH,SOLE,,48180376,0,0
1647251,0001647251-24-000011,594918104,MSFT,MICROSOFT CORP,COM,,5159550877,11990590,SH,SOLE,,11990590,0,0
1647251,0001647251-24-000011,615369105,MCO,MOODYS CORP,COM,,6286784100,13246769,SH,SOLE,,13246769,0,0
1647251,0001647251-24-000011,78409V104,SPGI,S&P GLOBAL INC,COM,,5372887780,10400077,SH,SOLE,,10400077,0,0
1647251,0001647251-24-000011,92826C839,V,VISA INC,COM CL A,,4618386566,16797187,SH,SOLE,,16797187,0,0
