filer_cik,accession,cusip,ticker,issuer,class,put_call,value_usd,shares,sh_prn_type,discretion,other_manager,vote_sole,vote_shared,vote_none
1040273,0001085146-24-004004,00751Y106,AWN,ADVANCE AUTO PARTS INC,COM,,94617307,1500100,SH,SOLE,,1500100,0,0
1040273,0001085146-24-004004,02079K305,GOOGL,ALPHABET INC,CAP STK CL A,,360657000,1980000,SH,SOLE,,1980000,0,0
1040273,0001085146-24-004004,023135106,AMZN,AMAZON COM INC,COM,,985575000,5100000,SH,SOLE,,5100000,0,0
1040273,0001085146-24-004004,026874784,AIG,AMERICAN INTL GROUP INC,COM NEW,,256128000,3450000,SH,SOLE,,3450000,0,0
1040273,0001085146-24-004004,032095101,APH,AMPHENOL CORP NEW,CL A,,188636000,2800000,SH,SOLE,,2800000,0,0
1040273,0001085146-24-004004,03769M106,APO,APOLLO GLOBAL MGMT INC,COM,,118070000,1000000,SH,SOLE,,1000000,0,0
1040273,0001085146-24-004004,03769M304,APO 6.75 07/31/26,APOLLO GLOBAL MGMT INC,SER A MAND CNV,,59049000,900000,SH,SOLE,,900000,0,0
1040273,0001085146-24-004004,037833100,AAPL,APPLE INC,COM,,410709000,1950000,SH,SOLE,,1950000,0,0
1040273,0001085146-24-004004,N07059210,,ASML HOLDING N V,N Y REGISTRY SHS,,81818400,80000,SH,SOLE,,80000,0,0
1040273,0001085146-24-004004,051774115,AUROW,AURORA INNOVATION INC,*W EXP 11/03/202,,379845,1835000,SH,SOLE,,1835000,0,0
1040273,0001085146-24-004004,051774107,AUR,AURORA INNOVATION INC,CLASS A COM,,2859923,1032463,SH,SOLE,,1032463,0,0
1040273,0001085146-24-004004,070830104,BBWI,BATH & BODY WORKS INC,COM,,467623750,11975000,SH,SOLE,,11975000,0,0
1040273,0001085146-24-004004,17243V102,CNK,CINEMARK HLDGS INC,COM,,151340000,7000000,SH,SOLE,,7000000,0,0
1040273,0001085146-24-004004,219948106,CPAY,CORPAY INC,COM SHS,,203803650,765000,SH,SOLE,,765000,0,0
1040273,0001085146-24-004004,G25508105,,CRH PLC,ORD,,48737000,650000,SH,SOLE,,650000,0,0
1040273,0001085146-24-004004,235851102,DHR,DANAHER CORPORATION,COM,,512192500,2050000,SH,SOLE,,2050000,0,0
1040273,0001085146-24-004004,268150109,DT,DYNATRACE INC,COM NEW,,6711000,150000,SH,SOLE,,150000,0,0
1040273,0001085146-24-004004,26884L109,EQT,EQT CORP,COM,,72111000,1950000,SH,SOLE,,1950000,0,0
1040273,0001085146-24-004004,G3421J106,,FERGUSON PLC NEW,SHS,,186872250,965000,SH,SOLE,,965000,0,0
1040273,0001085146-24-004004,343928115,FLYX/WS,FLYEXCLUSIVE INC,*W EXP 99/99/999,,203962,367499,SH,SOLE,,367499,0,0
1040273,0001085146-24-004004,343928107,FLYX,FLYEXCLUSIVE INC,COM CL A,,4118660,1022000,SH,SOLE,,1022000,0,0
