filer_cik,accession,cusip,ticker,issuer,class,put_call,value_usd,shares,sh_prn_type,discretion,other_manager,vote_sole,vote_shared,vote_none
1167483,0000919574-26-003362,G00894108,,ACCELERANT HOLDINGS,CL A,,1002000,75000,SH,SOLE,,75000,0,0
1167483,0000919574-26-003362,02079K305,GOOGL,ALPHABET INC,CAP STK CL A,,3057165959,10631402,SH,SOLE,,10631402,0,0
1167483,0000919574-26-003362,023135106,AMZN,AMAZON COM INC,COM,,2082700000,10000000,SH,SOLE,,10000000,0,0
1167483,0000919574-26-003362,03769M106,APO,APOLLO GLOBAL MGMT INC,COM,,366943274,3293334,SH,SOLE,,3293334,0,0
1167483,0000919574-26-003362,038222105,AMAT,APPLIED MATLS INC,COM,,566311851,1656900,SH,SOLE,,1656900,0,0
1167483,0000919574-26-003362,03831W108,APP,APPLOVIN CORP,COM CL A,,398000000,1000000,SH,SOLE,,1000000,0,0
1167483,0000919574-26-003362,00138L108,RERE,ATRENEW INC,SPONSORED ADS,,46108412,9831218,SH,SOLE,,9831218,0,0
1167483,0000919574-26-003362,852234103,XYZ,BLOCK INC,CL A,,240720000,4000000,SH,SOLE,,4000000,0,0
1167483,0000919574-26-003362,11135F101,AVGO,BROADCOM INC,COM,,1109535781,3584814,SH,SOLE,,3584814,0,0
1167483,0000919574-26-003362,G16910120,,BULLISH,ORD SHS,,3573000,100000,SH,SOLE,,100000,0,0
1167483,0000919574-26-003362,16935C109,CHYM,CHIME FINL INC,COM SHS CL A,,207561740,11081780,SH,SOLE,,11081780,0,0
1167483,0000919574-26-003362,219948106,CPAY,CORPAY INC,COM SHS,,509856965,1752146,SH,SOLE,,1752146,0,0
1167483,0000919574-26-003362,22160N109,CSGP,COSTAR GROUP INC,COM,,60510000,1500000,SH,SOLE,,1500000,0,0
1167483,0000919574-26-003362,22266T109,CPNG,COUPANG INC,CL A,,653161284,34595407,SH,SOLE,,34595407,0,0
1167483,0000919574-26-003362,25809K105,DASH,DOORDASH INC,CL A,,3804351,25337,SH,SOLE,,25337,0,0
1167483,0000919574-26-003362,29445S100,EQPT,EQUIPMENTSHARE COM INC,COM CL A,,93287389,4579646,SH,SOLE,,4579646,0,0
