filer_cik,accession,cusip,ticker,issuer,class,put_call,value_usd,shares,sh_prn_type,discretion,other_manager,vote_sole,vote_shared,vote_none
1103804,0001103804-25-000004,00510N102,TIC,ACUREN CORP,COM,,382083200,34360000,SH,SOLE,,34360000,0,0
1103804,0001103804-25-000004,00650F109,ADPT,ADAPTIVE BIOTECHNOLOGIES COR,COM,,222853250,29993708,SH,SOLE,,29993708,0,0
1103804,0001103804-25-000004,020002101,ALL,ALLSTATE CORP,COM,,352723659,1703403,SH,SOLE,,1703403,0,0
1103804,0001103804-25-000004,023135106,AMZN,AMAZON COM INC,COM,,517832545,2721710,SH,SOLE,,2721710,0,0
1103804,0001103804-25-000004,G0260P102,AS,AMER SPORTS INC,COM SHS,,62931375,2354335,SH,SOLE,,2354335,0,0
1103804,0001103804-25-000004,03027X100,AMT,AMERICAN TOWER CORP NEW,COM,,182522010,838796,SH,SOLE,,838796,0,0
1103804,0001103804-25-000004,00187Y100,APG,API GROUP CORP,COM STK,,770181644,21537518,SH,SOLE,,21537518,0,0
1103804,0001103804-25-000004,03831W108,APP,APPLOVIN CORP,COM CL A,,36325532,137093,SH,SOLE,,137093,0,0
1103804,0001103804-25-000004,052769106,ADSK,AUTODESK INC,COM,,79716529,304494,SH,SOLE,,304494,0,0
1103804,0001103804-25-000004,060505104,BAC,BANK AMERICA CORP,COM,,1343667191,32199070,SH,SOLE,,32199070,0,0
1103804,0001103804-25-000004,09061G101,BMRN,BIOMARIN PHARMACEUTICAL INC,COM,,763456171,10800059,SH,SOLE,,10800059,0,0
1103804,0001103804-25-000004,09075V102,BNTX,BIONTECH SE,SPONSORED ADS,,80130250,879972,SH,SOLE,,879972,0,0
1103804,0001103804-25-000004,097023105,BA,BOEING CO,COM,,551086618,3231232,SH,SOLE,,3231232,0,0
1103804,0001103804-25-000004,101137107,BSX,BOSTON SCIENTIFIC CORP,COM,,239767952,2376764,SH,SOLE,,2376764,0,0
1103804,0001103804-25-000004,10806X102,BBIO,BRIDGEBIO PHARMA INC,COM,,762454314,22055375,SH,SOLE,,22055375,0,0
1103804,0001103804-25-000004,133131102,CPT,CAMDEN PPTY TR,SH BEN INT,,341068895,2788789,SH,SOLE,,2788789,0,0
1103804,0001103804-25-000004,14040H105,COF,CAPITAL ONE FINL CORP,COM,,823184230,4591100,SH,SOLE,,4591100,0,0
1103804,0001103804-25-000004,143658300,CCL,CARNIVAL CORP,UNIT 99/99/9999,,242344196,12408817,SH,SOLE,,12408817,0,0
1103804,0001103804-25-000004,146869102,CVNA,CARVANA CO,CL A,,533961258,2553861,SH,SOLE,,2553861,0,0
1103804,0001103804-25-000004,03073E105,ABG,CENCORA INC,COM,,296949786,1067819,SH,SOLE,,1067819,0,0
1103804,0001103804-25-000004,169656105,CMG,CHIPOTLE MEXICAN GRILL INC,COM,,301589177,6006556,SH,SOLE,,6006556,0,0
1103804,0001103804-25-000004,H1467J104,CB,CHUBB LIMITED,COM,,588598139,1949065,SH,SOLE,,1949065,0,0
1103804,0001103804-25-000004,126408103,CSX,CSX CORP,COM,,502333872,17068769,SH,SOLE,,17068769,0,0
1103804,0001103804-25-000004,23331A109,DHI,D R HORTON INC,COM,,172522275,1357054,SH,SOLE,,1357054,0,0
1103804,0001103804-25-000004,235851102,DHR,DANAHER CORPORATION,COM,,92561805,451521,SH,SOLE,,451521,0,0
1103804,0001103804-25-000004,D18190898,,DEUTSCHE BANK AG,COM,,356412385,15106082,SH,SOLE,,15106082,0,0
1103804,0001103804-25-000004,25809K105,DASH,DOORDASH INC,CL A,,339593422,1858037,SH,SOLE,,1858037,0,0
1103804,0001103804-25-000004,28036F105,EWTX,EDGEWISE THERAPEUTICS INC,COM,,10780770,490035,SH,SOLE,,490035,0,0
