manager,filer_cik,filer_name,from_quarter,to_quarter,notes
Situational Awareness,2045724,Situational Awareness LP,2024Q4,,first 13F-HR period 2024-12-31; only ~6 quarters exist
Situational Awareness,2038540,Situational Awareness Partners LP,2026Q1,2026Q1,"underlying fund of adviser CIK 2045724 (Schedule 13G acc 0000935836-26-000303, retrieved 2026-08-17); its only 13F (2026Q1) duplicated the adviser's book; portfolio tracked via adviser from 2026Q2 — monitor for renewed filings"
Altimeter,1541617,"Altimeter Capital Management, LP",,,
Atreides,1777813,"Atreides Management, LP",,,
Coatue,1135730,COATUE MANAGEMENT LLC,,,
Maverick Capital,934639,MAVERICK CAPITAL LTD,,,CIK 928617 is historical (last 13F 2002)
Viking Global,1103804,VIKING GLOBAL INVESTORS LP,,,
Greenlight,1489933,"DME Capital Management, LP",2024Q1,,succeeded GREENLIGHT CAPITAL INC (CIK 1079114) after 2023Q4
Pershing Square,1336528,"Pershing Square Capital Management, L.P.",,,
Pershing Square,2026053,PERSHING SQUARE INC.,2025Q2,,second active filer since period 2025-06-30
Third Point,1040273,Third Point LLC,,,
Berkshire Hathaway,1067983,BERKSHIRE HATHAWAY INC,,,parent combined 13F-HR; subsidiaries file 13F-NT; confidential-treatment amendments occur
Lone Pine,1061165,LONE PINE CAPITAL LLC,,,
Appaloosa,1656456,Appaloosa LP,2016Q1,,succeeded APPALOOSA MANAGEMENT LP (CIK 1006438) after 2015Q4
Tiger Global,1167483,TIGER GLOBAL MANAGEMENT LLC,,,
TCI,1647251,TCI Fund Management Ltd,,,
Fundsmith,1569205,Fundsmith LLP,,,
Fundsmith,1868537,FUNDSMITH INVESTMENT SERVICES LTD.,,,second active filer (Mauritius)
Lindsell Train,1484150,Lindsell Train Ltd,,,habitual early filer
