check,quarter,manager,cusip,warning_fingerprint,classification,resolution,reference,reviewed_by,reviewed_date
cusip-check-digit,2025Q1,Third Point,78462F953,009d702e4589da772691b4d64908db70554333182810b4b0074bcd2a27e1d7e3,filer-identifier-anomaly,Accepted SEC option line uses a non-validating identifier; options remain outside the main book,https://www.sec.gov/Archives/edgar/data/1040273/000108514625003337/0001085146-25-003337-index.htm (retrieved 2026-08-12); raw XML verified,Codex audit,2026-08-17
cusip-check-digit,2026Q1,Leon Cooperman,H2627K103,5fd73a58e48748472a3e7e074a394ecd21e461f1fba718523dd498f86f424810,filer-identifier-error,Filer used H2627K103; official Amrize CUSIP is H2927K103; preserve as filed and map through documented alias,SEC accession 0000945621-26-000719; Amrize Schedule 13G,Codex audit,2026-08-17
identity,,,00510N102,0757405c6f90a162e35573333bd341bbaff3e90a15d4ab028bb8cbc21b34a4b0,issuer-name-change,Acuren renamed TIC Solutions; same security identity,SEC issuer filing history,Codex audit,2026-08-17
identity,,,023135106,00b9d82e35f011d2d1fd1fe6991567d798cba59413c335db8fe5a582848cc8dd,filer-label-error,Altimeter swapped Amazon and Astera issuer labels; CUSIP-keyed joins remain correct,EXC-004; SEC accession 0001541617-24-000007,Codex audit,2026-08-17
identity,,,04626A103,1cd4e16398bab3462ccf70e449750ff63d9c135e3d509bfa0ae7c9aa344bbc3e,filer-label-error,Altimeter swapped Astera and Amazon issuer labels; CUSIP-keyed joins remain correct,EXC-004; SEC accession 0001541617-24-000007,Codex audit,2026-08-17
identity,,,10948W103,b9aea7a109bb940d7d73ae215a0a10ac41eedc77f05497b7560190d9fec49b9e,issuer-name-change,BrightSphere renamed Acadian Asset Management; same security identity,SEC issuer 8-K dated 2024-10-01,Codex audit,2026-08-17
identity,,,131193104,5493ec108689aa635c2e37e80a510c1a2004768db640917c445c14fa071108a4,issuer-name-change,Topgolf Callaway reverted to Callaway Golf; same security identity,SEC issuer filing history,Codex audit,2026-08-17
identity,,,165167172,44f3646e25888418d84098db6c5fe518b290f94594dc3aabe6fc939dd092ba99,issuer-name-change,Chesapeake renamed Expand Energy after the Southwestern merger,Expand Energy SEC filings,Codex audit,2026-08-17
identity,,,165167180,49714d2e03d9aaa7ae9b5f73a250c5fcff25c6fd7f092e258d1ffba4c79baeff,issuer-name-change,Chesapeake renamed Expand Energy after the Southwestern merger,Expand Energy SEC filings,Codex audit,2026-08-17
identity,,,165167735,7ba87b13c46d826a63dd97313e8e5d1bcc72ac910b9733f15198ca9f49f10e6e,issuer-name-change,Chesapeake renamed Expand Energy after the Southwestern merger,Expand Energy SEC filings,Codex audit,2026-08-17
identity,,,36315X101,cf39917ebbfa2d5d51ed92d65054cf3b75e8a302ac067899a8233788b6fed80b,issuer-name-change,Galapagos changed its corporate name to Lakefront Biotherapeutics; same CUSIP,SEC issuer filing history,Codex audit,2026-08-17
identity,,,36472T109,26e121127672ed3480d658a168ba83056621168bb728533417f18445f0cec88f,issuer-name-change,Gannett changed its corporate name to USA TODAY Co; same CUSIP,SEC issuer filing history,Codex audit,2026-08-17
identity,,,78462F103,ff368d453d3eed004b17bdad4606c9f74adef36450d6de189d8f8035f68b6c29,issuer-label-variation,SPDR S&P 500 ETF labels are abbreviated variants of the same fund,SEC 13F filings with the same CUSIP,Codex audit,2026-08-17
