filer_cik,quarter,accession,form,filing_date,role,in_book,detail
934639,2024Q2,0000947871-24-000690,13F-HR,2024-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
934639,2024Q3,0000947871-24-000903,13F-HR,2024-11-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
934639,2024Q4,0000947871-25-000159,13F-HR,2025-02-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
934639,2025Q1,0000947871-25-000533,13F-HR,2025-05-15,BASE_ORIGINAL,True,original 13F-HR is the base filing
934639,2025Q2,0000947871-25-000775,13F-HR,2025-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
934639,2025Q3,0000947871-25-001016,13F-HR,2025-11-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
934639,2025Q4,0000947871-26-000150,13F-HR,2026-02-13,BASE_ORIGINAL,True,original 13F-HR is the base filing
934639,2026Q1,0000947871-26-000553,13F-HR,2026-05-15,BASE_ORIGINAL,True,original 13F-HR is the base filing
934639,2026Q2,0000947871-26-000793,13F-HR,2026-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1040273,2024Q2,0001085146-24-004004,13F-HR,2024-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1040273,2024Q3,0001085146-24-005927,13F-HR,2024-11-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1040273,2024Q4,0001085146-25-001713,13F-HR,2025-02-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1040273,2025Q1,0001085146-25-003337,13F-HR,2025-05-15,BASE_ORIGINAL,True,original 13F-HR is the base filing
1040273,2025Q2,0001085146-25-005277,13F-HR,2025-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1040273,2025Q3,0001040273-25-000003,13F-HR,2025-11-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1040273,2025Q4,0001040273-26-000001,13F-HR,2026-02-17,BASE_ORIGINAL,True,original 13F-HR is the base filing
1040273,2026Q1,0001040273-26-000002,13F-HR,2026-05-15,BASE_ORIGINAL,True,original 13F-HR is the base filing
1040273,2026Q2,0001040273-26-000003,13F-HR,2026-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1061165,2024Q2,0000902664-24-005150,13F-HR,2024-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1061165,2024Q3,0000902664-24-006633,13F-HR,2024-11-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1061165,2024Q4,0000902664-25-001072,13F-HR,2025-02-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1061165,2025Q1,0000902664-25-002417,13F-HR,2025-05-15,BASE_ORIGINAL,True,original 13F-HR is the base filing
1061165,2025Q2,0000902664-25-003627,13F-HR,2025-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1061165,2025Q3,0000902664-25-004988,13F-HR,2025-11-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1061165,2025Q4,0000902664-26-001084,13F-HR,2026-02-17,BASE_ORIGINAL,True,original 13F-HR is the base filing
1061165,2026Q1,0000919574-26-003439,13F-HR,2026-05-15,BASE_ORIGINAL,True,original 13F-HR is the base filing
1061165,2026Q2,0000919574-26-005485,13F-HR,2026-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1067983,2024Q2,0000950123-24-008740,13F-HR,2024-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1067983,2024Q3,0000950123-24-011775,13F-HR,2024-11-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1067983,2024Q4,0000950123-25-002701,13F-HR,2025-02-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1067983,2025Q1,0000950123-25-005701,13F-HR,2025-05-15,BASE_ORIGINAL,True,original 13F-HR is the base filing
1067983,2025Q1,0000950123-25-008361,13F-HR/A,2025-08-14,NEW_HOLDINGS,True,NEW HOLDINGS amendment 1 appended after the base filing (Form 13F Special Instruction 3)
1067983,2025Q2,0000950123-25-008343,13F-HR,2025-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1067983,2025Q3,0001193125-25-282901,13F-HR,2025-11-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1067983,2025Q4,0001193125-26-054580,13F-HR,2026-02-17,BASE_ORIGINAL,True,original 13F-HR is the base filing
1067983,2026Q1,0001193125-26-226661,13F-HR,2026-05-15,BASE_ORIGINAL,True,original 13F-HR is the base filing
1067983,2026Q2,0001193125-26-352200,13F-HR,2026-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1103804,2024Q2,0000905148-24-002226,13F-HR,2024-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1103804,2024Q3,0001103804-24-000006,13F-HR,2024-11-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1103804,2024Q4,0001103804-25-000002,13F-HR,2025-02-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1103804,2025Q1,0001103804-25-000004,13F-HR,2025-05-15,BASE_ORIGINAL,True,original 13F-HR is the base filing
1103804,2025Q2,0001103804-25-000007,13F-HR,2025-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1103804,2025Q3,0001103804-25-000010,13F-HR,2025-11-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1103804,2025Q4,0001103804-26-000002,13F-HR,2026-02-17,BASE_ORIGINAL,True,original 13F-HR is the base filing
1103804,2026Q1,0001103804-26-000004,13F-HR,2026-05-15,BASE_ORIGINAL,True,original 13F-HR is the base filing
1103804,2026Q2,0001103804-26-000006,13F-HR,2026-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1135730,2024Q2,0000919574-24-004594,13F-HR,2024-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1135730,2024Q3,0000919574-24-006691,13F-HR,2024-11-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1135730,2024Q4,0000919574-25-001429,13F-HR,2025-02-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1135730,2025Q1,0000919574-25-003179,13F-HR,2025-05-15,BASE_ORIGINAL,True,original 13F-HR is the base filing
1135730,2025Q2,0000919574-25-004823,13F-HR,2025-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1135730,2025Q3,0000919574-25-006976,13F-HR,2025-11-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1135730,2025Q4,0000919574-26-001239,13F-HR,2026-02-17,SUPERSEDED_ORIGINAL,False,replaced by a later RESTATEMENT amendment
1135730,2025Q4,0000919574-26-003414,13F-HR/A,2026-05-15,BASE_RESTATEMENT,True,latest RESTATEMENT restates the quarter in its entirety
1135730,2026Q1,0000919574-26-003501,13F-HR,2026-05-15,BASE_ORIGINAL,True,original 13F-HR is the base filing
1135730,2026Q2,0000919574-26-005478,13F-HR,2026-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1167483,2024Q2,0000919574-24-004713,13F-HR,2024-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1167483,2024Q3,0000919574-24-006690,13F-HR,2024-11-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1167483,2024Q4,0000919574-25-001475,13F-HR,2025-02-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1167483,2025Q1,0000919574-25-003217,13F-HR,2025-05-15,BASE_ORIGINAL,True,original 13F-HR is the base filing
1167483,2025Q2,0000919574-25-004870,13F-HR,2025-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
